stage,commit,attack_seed,condition,candidate_id,candidate_seed,selection_metric,surrogate_target31744_margin,surrogate_target31744_best_competitor_margin,surrogate_target31744_logratio_margin,delta_sha256,processor_input_sha256,budget_quantized_correction_count,selected
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,0,1526513475,surrogate_target_objective_margin,0.0,0.0,0.0,14ea465dc917a6dc6ccc52b4a770b6d8079d441f88323b6b357a4c20b4e871c0,2740f561f471eb48d000b6fb86bfd59dfb44c307a4c1f707fd88e1729b880be1,121,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,1,2059794113,surrogate_target_objective_margin,-0.25,-0.25,-0.25,2b29c0844ea8e3194c071a26edeaea1e8c27c0c006f8740fcfd2704b1f75a7ca,1d8b171bdca4a449035736a7244bcce9c34b21f16d426074ec104848b2c89ee0,106,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,2,1463934776,surrogate_target_objective_margin,0.0,0.0,0.0,727fdf5555e0af2b50cbe27606d7a6ea239e5027731b1dbd8d84c0e494cf0337,4411ba1b3a5c30fe07003bd8ab177eb3548facc0b7179ea78b249483b7a90f38,101,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,3,1376924591,surrogate_target_objective_margin,6.0,6.0,6.0,b2882dec09c3feb5ea66a204c09faabfd584f0b9546a1cfdfc0b84e96cd23780,8a9f0e196bc9b0c26e0e9ba7411883b646b04d58558186018c67c7a7d4fb0773,113,1
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,4,1860177996,surrogate_target_objective_margin,-0.5,-0.5,-0.5,92a630085fb7bd37ec7237ab3e6caea916a368a260ef4531cc4afa471f67667e,090881b680e6eedd1644f62ef6c7c5cbbd7b0486c5bba0aeabcecbf94298bc90,124,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,5,709509068,surrogate_target_objective_margin,0.5,0.5,0.5,38e2ae3bb6eae127cd65512854cab339f1597c38f835b334b1ee5694244197db,8debd0889f82ca2584fedc876cf885c3911b8ae1edd1b337253065c15f1936d1,103,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,6,1777339844,surrogate_target_objective_margin,-0.25,-0.25,-0.25,918d576aea940d76996fb92035f89ff55c9537ed7a297bc5567bc7eb4d039459,6ecabd60e7a7fdc7555cb357fd84716d142130ea51b6c6dea881daac94de6e86,107,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,7,1718354930,surrogate_target_objective_margin,0.0,0.0,0.0,5f10c48d4228b2bca52d89e57735360f03e1e3c272a302a26156401661011314,39512194d40ba5ad1007edc8995a7d946c11d7fff7e42765563c6cbe5167f0ac,100,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,8,1449399986,surrogate_target_objective_margin,-0.25,-0.25,-0.25,12b0e30f30fb699a3a558ebfb7359ca3663315fa1036af5de02f45b251215e80,a11072e300df793a18cef8a9374fa50af486b92bd13c8137c354652ea27f2504,90,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,290fb13e4c94fdec208c3e8717ec0c5eeabd2ace,81,RAND20,9,527494013,surrogate_target_objective_margin,0.0,0.0,0.0,39587b7ea62eba90d5a8cb684709ad9daaf74182bbb689700bf498d2d6a98023,ab529b11c3207dadeecf382bdccc86be4782626faf41e7393022cc907e41362e,104,0
