episode_id,task_key,state_id,split,window_start,window_end,actual_window_len,T_gform,relative_lead,candidate_source,delay,clean_open_count,clean_open_ratio,raw_gripper_mean,qpos_start,qpos_end,qpos_min,qpos_max,qpos_delta_abs,qpos_opening_proxy,qpos_velocity_mean,eef_speed_mean,eef_speed_max,eef_displacement,eef_z_delta,dist_to_T_open_onset,dist_to_T_qpos_motion,dist_to_T_qpos_min,dist_to_T_qpos_stable,dist_to_T_eef_slowdown,dist_to_T_done,phase_bin_proxy,phase_bin_reason,phase_bin_confidence,notes,VIS_OPEN,qpos_opening_delta,VIS_done,denominator_status,claim_usable,taxonomy,provenance_status
obj100_alphabet_soup_alphabet_soup_s0,alphabet_soup,0,train,3,20,18,53,-50,teacher_oracle,-50,0,0.0,0.9961,0.03896,0.039446,0.03896,0.039446,0.000485,0.0,2.9e-05,0.191531,0.45281,0.091411,0.002977,-49,-46,-50,-54,-4,-146,approach_far_closed_proxy,ws<T_gform-40(13),high,,18-18,0.027619,True,polluted_or_incomplete,False,action_positive_physical_weak+denominator_polluted,audit_complete
obj100_alphabet_soup_alphabet_soup_s2,alphabet_soup,2,train,11,28,18,61,-50,teacher_oracle,-50,0,0.0,0.9961,0.039245,0.039526,0.039245,0.039526,0.000281,0.0,1.7e-05,0.097849,0.306105,0.155952,-0.002617,-46,-49,-50,-51,8,-124,approach_far_closed_proxy,ws<T_gform-40(21),high,,,,,,,,pending_vis
obj100_alphabet_soup_alphabet_soup_s3,alphabet_soup,3,train,21,38,18,71,-50,teacher_oracle,-50,0,0.0,0.9961,0.039474,0.039695,0.039474,0.039695,0.000221,0.0,1.3e-05,0.204413,0.3334,0.149097,0.000672,-33,-36,-50,-51,19,-134,approach_near_closed_proxy,"ws_in[T_motion-40,T_motion-20)=[17,37)",medium,,,,,,,,pending_vis
obj100_alphabet_soup_alphabet_soup_s4,alphabet_soup,4,val,4,21,18,54,-50,teacher_oracle,-50,0,0.0,0.9961,0.038958,0.039421,0.038958,0.039421,0.000464,0.0,2.7e-05,0.177058,0.279043,0.161617,-0.001491,-45,-48,-50,-51,-9,-138,approach_far_closed_proxy,ws<T_gform-40(14),high,,,,,,,,pending_vis
obj100_alphabet_soup_alphabet_soup_s6,alphabet_soup,6,test,40,57,18,90,-50,teacher_oracle,-50,0,0.0,0.9961,0.039443,0.040236,0.039443,0.040277,0.000835,0.0,5.2e-05,0.266514,0.497758,0.160372,-0.00427,-20,-25,-105,,9,-106,approach_near_closed_proxy,"ws_in[T_motion-40,T_motion-20)=[25,45)",medium,,,,,,,,pending_vis
obj100_alphabet_soup_alphabet_soup_s7,alphabet_soup,7,train,60,77,18,110,-50,teacher_oracle,-50,0,0.0,0.9961,0.039842,0.039917,0.039841,0.039917,7.6e-05,1e-06,5e-06,0.085706,0.539658,0.120357,-0.000696,-31,-34,-50,-51,57,-109,approach_near_closed_proxy,"ws_in[T_motion-40,T_motion-20)=[54,74)",medium,,,,,,,,pending_vis
obj100_alphabet_soup_alphabet_soup_s8,alphabet_soup,8,val,12,29,18,62,-50,teacher_oracle,-50,0,0.0,0.9961,0.039286,0.039596,0.039286,0.039596,0.00031,0.0,1.8e-05,0.144828,0.47996,0.167885,-0.001633,-36,-36,-50,-51,9,-130,approach_near_closed_proxy,"ws_in[T_motion-40,T_motion-20)=[8,28)",medium,,,,,,,,pending_vis
obj100_bbq_sauce_bbq_sauce_s0,bbq_sauce,0,test,25,42,18,75,-50,teacher_oracle,-50,0,0.0,0.9961,0.039573,0.039798,0.039573,0.039798,0.000226,0.0,1.3e-05,0.201002,0.65909,0.089821,-0.008019,-22,-25,-50,-69,-8,-142,approach_near_closed_proxy,"ws_in[T_motion-40,T_motion-20)=[10,30)",medium,,,,,,,,pending_vis
obj100_bbq_sauce_bbq_sauce_s4,bbq_sauce,4,test,14,31,18,64,-50,teacher_oracle,-50,0,0.0,0.9961,0.039345,0.039681,0.039345,0.039681,0.000335,0.0,2e-05,0.678403,0.832874,0.08751,0.001845,-43,-46,-50,-51,7,-123,approach_far_closed_proxy,ws<T_gform-40(24),high,,,,,,,,pending_vis
obj100_bbq_sauce_bbq_sauce_s5,bbq_sauce,5,train,27,44,18,77,-50,teacher_oracle,-50,0,0.0,0.9961,0.039597,0.039794,0.039597,0.039794,0.000197,0.0,1.2e-05,0.461394,0.816582,0.069451,-0.006061,-37,-40,-50,-63,20,-163,approach_near_closed_proxy,"ws_in[T_motion-40,T_motion-20)=[27,47)",medium,,,,,,,,pending_vis
