task_key,state_id,window_start,window_end,label_status,taxonomy_full,mechanism_type,n_probe_frames,clean_open_count,clean_open_rate,clean_longest_open_streak,targeted_open_count,targeted_open_rate,targeted_longest_open_streak,random_open_count,random_open_rate,random_longest_open_streak,tmc_count,tmr_count,tmc_streak,tmr_streak,ceiling_flag,gripper_delta_vs_clean,targeted_error_rate,vis_open_count,qpos_delta,qpos_label,label_phys_bridge,label_cmd_sus,label_negative_clean,label_ignore_polluted,label_uncertain,label_ceiling
ketchup,0,16,33,positive,action_positive_physical_strong_task_positive,,10,10,1.0,10,8,0.8,5,9,0.9,9,-2,-1,-5,-4,1,-0.2,0.0,18,0.038042,strong,1,1,0,0,0,1
butter,0,29,46,positive,action_positive_physical_strong_task_positive,,10,2,0.2,1,6,0.6,3,3,0.3,1,4,3,2,2,0,0.4,0.0,18,0.037905,strong,1,1,0,0,0,0
alphabet_soup,0,3,20,ignore,weak_physical_uncertain,,10,5,0.5,3,5,0.5,3,5,0.5,3,0,0,0,0,0,0.0,0.0,18,0.027619,weak,0,1,0,1,1,0
alphabet_soup,3,21,38,ignore,polluted,,10,9,0.9,9,9,0.9,7,8,0.8,5,0,1,-2,2,1,0.0,0.0,0,0.0,none,0,0,0,1,0,1
alphabet_soup,4,4,21,positive,claim_usable,,10,6,0.6,5,5,0.5,3,5,0.5,3,-1,0,-2,0,0,-0.1,0.0,18,0.032241,strong,1,1,0,0,0,0
alphabet_soup,8,29,46,ignore,polluted,,10,5,0.5,3,6,0.6,2,5,0.5,4,1,1,-1,-2,0,0.1,0.0,0,0.0,none,0,0,0,1,0,0
bbq_sauce,0,30,47,ignore,polluted,,10,7,0.7,4,9,0.9,7,6,0.6,3,2,3,3,4,0,0.2,0.0,0,0.0,none,0,0,0,1,0,0
bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative,,10,5,0.5,3,7,0.7,7,5,0.5,2,2,2,4,5,0,0.2,0.0,18,0.038119,strong,1,1,0,0,0,0
bbq_sauce,9,22,39,positive,claim_usable,,10,6,0.6,3,7,0.7,3,7,0.7,4,1,0,0,-1,0,0.1,0.0,18,0.038021,strong,1,1,0,0,0,0
butter,3,29,46,ignore,polluted,,10,3,0.3,1,9,0.9,9,4,0.4,2,6,5,8,7,0,0.6,0.0,0,0.0,none,0,0,0,1,0,0
butter,5,25,42,positive,claim_usable,,10,0,0.0,0,6,0.6,5,0,0.0,0,6,6,5,5,0,0.6,0.0,18,0.037568,strong,1,1,0,0,0,0
cream_cheese,4,28,45,positive,claim_usable,,10,3,0.3,3,3,0.3,2,3,0.3,3,0,0,-1,-1,0,0.0,0.0,18,0.038149,strong,1,1,0,0,0,0
ketchup,1,21,38,positive,claim_usable,,10,5,0.5,3,4,0.4,2,6,0.6,5,-1,-2,-1,-3,0,-0.1,0.0,18,0.037871,strong,1,1,0,0,0,0
ketchup,2,39,56,ignore,polluted,,10,10,1.0,10,6,0.6,3,9,0.9,8,-4,-3,-7,-5,1,-0.4,0.0,0,0.0,none,0,0,0,1,0,1
ketchup,5,9,26,negative,action_positive_physical_positive_task_negative,,10,9,0.9,6,6,0.6,3,9,0.9,6,-3,-3,-3,-3,1,-0.3,0.0,18,0.037403,strong,1,1,0,0,0,1
milk,1,8,25,positive,claim_usable,,10,1,0.1,1,3,0.3,3,2,0.2,2,2,1,2,1,0,0.2,0.0,18,0.036838,strong,1,1,0,0,0,0
milk,4,19,36,positive,claim_usable,,10,4,0.4,4,2,0.2,1,4,0.4,4,-2,-2,-3,-3,0,-0.2,0.0,18,0.03789,strong,1,1,0,0,0,0
milk,5,25,42,negative,action_positive_physical_positive_task_negative,,10,2,0.2,1,2,0.2,1,1,0.1,1,0,1,0,0,0,0.0,0.0,18,0.03799,strong,1,1,0,0,0,0
milk,9,5,22,ignore,polluted,,10,4,0.4,1,6,0.6,6,4,0.4,2,2,2,5,4,0,0.2,0.0,0,0.0,none,0,0,0,1,0,0
salad_dressing,0,31,48,ignore,polluted,,10,3,0.3,1,7,0.7,5,3,0.3,1,4,4,4,4,0,0.4,0.0,0,0.0,none,0,0,0,1,0,0
salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative,,10,0,0.0,0,6,0.6,4,0,0.0,0,6,6,4,4,0,0.6,0.0,18,0.036668,strong,1,1,0,0,0,0
alphabet_soup,6,40,57,negative,no_action_bridge,,10,1,0.1,1,7,0.7,4,3,0.3,1,6,4,3,3,0,0.6,0.0,0,0.0,none,0,0,1,0,0,0
bbq_sauce,0,15,32,ignore,polluted,,10,6,0.6,3,6,0.6,3,4,0.4,3,0,2,0,0,0,0.0,0.0,0,0.0,none,0,0,0,1,0,0
bbq_sauce,0,5,22,negative,no_action_bridge,,10,8,0.8,8,5,0.5,4,9,0.9,9,-3,-4,-4,-5,1,-0.3,0.0,1,0.0,none,0,0,1,0,0,1
ketchup,4,28,45,negative,no_action_bridge,,10,8,0.8,4,5,0.5,3,7,0.7,4,-3,-2,-1,-1,1,-0.3,0.0,0,0.0,none,0,0,1,0,0,1
milk,1,18,35,negative,no_action_bridge,,10,4,0.4,2,4,0.4,2,3,0.3,2,0,1,0,0,0,0.0,0.0,0,0.0,none,0,0,1,0,0,0
milk,8,8,25,negative,no_action_bridge,,10,4,0.4,3,1,0.1,1,4,0.4,3,-3,-3,-2,-2,0,-0.3,0.0,0,0.0,none,0,0,1,0,0,0
orange_juice,2,17,34,negative,no_action_bridge,,10,3,0.3,3,5,0.5,4,3,0.3,3,2,2,1,1,0,0.2,0.0,0,0.0,none,0,0,1,0,0,0
salad_dressing,5,28,45,negative,no_action_bridge,,10,0,0.0,0,7,0.7,5,1,0.1,1,7,6,5,4,0,0.7,0.0,0,0.0,none,0,0,1,0,0,0
tomato_sauce,1,23,40,negative,no_action_bridge,,10,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1,4e-06,none,0,0,1,0,0,0
tomato_sauce,3,17,34,negative,no_action_bridge,,10,3,0.3,1,2,0.2,1,5,0.5,2,-1,-3,0,-1,0,-0.1,0.0,0,0.0,none,0,0,1,0,0,0
