episode_id,task_key,n_windows,n_phases,first_far_closed,first_near_closed,first_pre_lock,first_grasp_lock
obj100_alphabet_soup_alphabet_soup_s0,alphabet_soup,1,1,3,,,
obj100_alphabet_soup_alphabet_soup_s2,alphabet_soup,1,1,11,,,
obj100_alphabet_soup_alphabet_soup_s3,alphabet_soup,1,1,,21,,
obj100_alphabet_soup_alphabet_soup_s4,alphabet_soup,12,3,3,13,,
obj100_alphabet_soup_alphabet_soup_s6,alphabet_soup,13,3,19,29,,
obj100_alphabet_soup_alphabet_soup_s7,alphabet_soup,1,1,,60,,
obj100_alphabet_soup_alphabet_soup_s8,alphabet_soup,13,4,,9,29,34
obj100_bbq_sauce_bbq_sauce_s0,bbq_sauce,14,5,5,15,30,75
obj100_bbq_sauce_bbq_sauce_s4,bbq_sauce,13,3,10,20,,
obj100_bbq_sauce_bbq_sauce_s5,bbq_sauce,1,1,,27,,
obj100_bbq_sauce_bbq_sauce_s9,bbq_sauce,1,1,22,,,
obj100_butter_butter_s0,butter,13,5,7,17,32,37
obj100_butter_butter_s2,butter,12,3,13,33,,
obj100_butter_butter_s3,butter,1,1,,29,,
obj100_butter_butter_s5,butter,1,1,25,,,
obj100_butter_butter_s6,butter,12,3,7,17,,
obj100_butter_butter_s7,butter,1,1,10,,,
obj100_butter_butter_s8,butter,1,1,,36,,
obj100_butter_butter_s9,butter,1,1,11,,,
obj100_chocolate_pudding_rerun_chocolate_pudding_s2,chocolate_pudding,14,4,14,24,,44
obj100_chocolate_pudding_rerun_chocolate_pudding_s3,chocolate_pudding,1,1,,40,,
obj100_chocolate_pudding_rerun_chocolate_pudding_s4,chocolate_pudding,1,1,15,,,
obj100_chocolate_pudding_rerun_chocolate_pudding_s5,chocolate_pudding,1,1,,32,,
obj100_chocolate_pudding_rerun_chocolate_pudding_s6,chocolate_pudding,14,5,2,22,36,37
obj100_chocolate_pudding_rerun_chocolate_pudding_s9,chocolate_pudding,1,1,,28,,
obj100_cream_cheese_cream_cheese_s1,cream_cheese,13,1,,,,
obj100_cream_cheese_cream_cheese_s3,cream_cheese,13,2,,44,,
obj100_cream_cheese_cream_cheese_s4,cream_cheese,1,1,,28,,
obj100_cream_cheese_cream_cheese_s8,cream_cheese,13,2,,24,,
obj100_ketchup_ketchup_s0,ketchup,1,1,16,,,
obj100_ketchup_ketchup_s1,ketchup,13,3,,8,28,
obj100_ketchup_ketchup_s2,ketchup,14,4,4,24,39,
obj100_ketchup_ketchup_s3,ketchup,12,3,8,28,,
obj100_ketchup_ketchup_s4,ketchup,12,3,,8,28,
obj100_ketchup_ketchup_s5,ketchup,12,3,5,15,,
obj100_ketchup_ketchup_s9,ketchup,1,1,,41,,
obj100_milk_milk_s1,milk,11,3,8,18,,
obj100_milk_milk_s4,milk,1,1,,19,,
obj100_milk_milk_s5,milk,14,2,25,,,
obj100_milk_milk_s8,milk,1,1,8,,,
obj100_milk_milk_s9,milk,12,4,5,15,,35
obj100_orange_juice_orange_juice_s0,orange_juice,1,1,,50,,
obj100_orange_juice_orange_juice_s1,orange_juice,1,1,,10,,
obj100_orange_juice_orange_juice_s2,orange_juice,14,4,17,27,,42
obj100_orange_juice_orange_juice_s6,orange_juice,1,1,,31,,
obj100_orange_juice_orange_juice_s7,orange_juice,1,1,,37,,
obj100_salad_dressing_salad_dressing_s0,salad_dressing,14,5,7,11,31,36
obj100_salad_dressing_salad_dressing_s1,salad_dressing,1,1,,26,,
obj100_salad_dressing_salad_dressing_s2,salad_dressing,1,1,,9,,
obj100_salad_dressing_salad_dressing_s3,salad_dressing,12,3,19,29,,
obj100_salad_dressing_salad_dressing_s4,salad_dressing,1,1,,22,,
obj100_salad_dressing_salad_dressing_s5,salad_dressing,13,3,28,40,,
obj100_tomato_sauce_tomato_sauce_s0,tomato_sauce,13,4,42,49,,97
obj100_tomato_sauce_tomato_sauce_s1,tomato_sauce,1,1,,23,,
obj100_tomato_sauce_tomato_sauce_s3,tomato_sauce,1,1,17,,,
obj100_tomato_sauce_tomato_sauce_s4,tomato_sauce,14,3,40,63,,
