tokens,tokens_json,arm_prefix,gripper_token,sequence_sha256,per_token_score_sha256,per_token_argmax,prompt_len,final_score_row_sha256,final_finite,final_target_31744_score,final_close_31872_score,final_target_minus_close,final_top_tokens,final_top_scores,final_top_token,final_top_score,repeat_idx,profile
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""5f4ccd3321ffe3814f85be9a743dcb177dd47e003e708ceb2c6325ac624d8a4c"", ""998e34854741f758c3426dd7acce29621df9d93d5f7f24db48e38cce5315998c"", ""aa57ad49fadd7823c0e612cd95ed645941bf072306962f5ebce318458da912de"", ""4699ead463917a36ed4beb3b4a1c5cce1617193eed57b1d97576760beed981b8"", ""5b064987512385616053da03d2d2977e843ab4a0809aa92d277b0f553ba3e6fd"", ""b8f19bcd99eef664b0d147339f97b9725eb64685022b6ce21a5db10b606d8721"", ""42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.0, 20.125, 18.5, 15.9375, 14.4375, 13.125, 12.4375, 12.0625, 11.9375]",31872,41.25,0,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31744]","[31900, 31870, 31915, 31882, 31862, 31913, 31744]","[31900, 31870, 31915, 31882, 31862, 31913]",31744,06f0c1fbd5fc5c1ce2e52f81e76dfc200e1deab4f60197fb78388c6c84d48ff1,"[""5b49e99bba860dc472a8e073b9e7a538b19b620b9737179b1eae7eeef431ac4d"", ""b8487234d5446d7e28e55cd60002d41650e91f1934d0ce76fe8e64d77b0186a4"", ""0d160fcd1945f9d2de36dcb1f7b3be6309c9734e676e66747aa0b53e80c615f7"", ""a26c9f6a0a980de1d11d60b4509b2c0169e7e8c35556f8028c3eb22c0dcab4d8"", ""56edc44e7d050618078ee899978b622760477a1c9404e970890f3d199b39dcf0"", ""969c22c1c7759cc2ba987ea27a791b3d1d640166c220279caa73b871950bd629"", ""7d171409ebd49f6b86740d87f47fc1b501d01879d31c36be0d2a0688f063c98b""]","[31900, 31870, 31915, 31882, 31862, 31913, 31744]",28,7d171409ebd49f6b86740d87f47fc1b501d01879d31c36be0d2a0688f063c98b,True,41.25,41.25,0.0,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.25, 20.375, 18.5, 16.0, 14.6875, 13.625, 12.5625, 12.1875, 12.0625]",31872,41.25,1,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""bedd108514cd0379576732f6997e34ec391ff930e14d406dcb12a440f9e842a5"", ""5d7e6d524bcc933962d68fabc3b4241c03c12cefada3ec9949368c592aad527a"", ""17a84f9bea2e78741f7705a472b235c6577d8b805ee11a6a92693e028ed21f77"", ""4320f4441a54c2f66f34d7d1149f28e9f672a2efbf4d9d9ee4ccec352482199d"", ""164e50c56019e839d3be69f130ff707b78bd0c8297c68bc5864fa0ff5ced59db"", ""f2a43df186800309897f6a18bc86a1edf32c1e6f2bd848fb88f22d7a2380c6e7"", ""7263a8741d65d97913d78a607a3eeef8ec613746d10cfda611286c8e09ff7da0""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,7263a8741d65d97913d78a607a3eeef8ec613746d10cfda611286c8e09ff7da0,True,41.25,41.5,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31746]","[41.5, 41.25, 20.125, 18.375, 16.0, 14.5, 13.25, 12.4375, 12.1875, 12.0625]",31872,41.5,2,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""5f4ccd3321ffe3814f85be9a743dcb177dd47e003e708ceb2c6325ac624d8a4c"", ""998e34854741f758c3426dd7acce29621df9d93d5f7f24db48e38cce5315998c"", ""aa57ad49fadd7823c0e612cd95ed645941bf072306962f5ebce318458da912de"", ""4699ead463917a36ed4beb3b4a1c5cce1617193eed57b1d97576760beed981b8"", ""5b064987512385616053da03d2d2977e843ab4a0809aa92d277b0f553ba3e6fd"", ""b8f19bcd99eef664b0d147339f97b9725eb64685022b6ce21a5db10b606d8721"", ""42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.0, 20.125, 18.5, 15.9375, 14.4375, 13.125, 12.4375, 12.0625, 11.9375]",31872,41.25,3,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""5f4ccd3321ffe3814f85be9a743dcb177dd47e003e708ceb2c6325ac624d8a4c"", ""998e34854741f758c3426dd7acce29621df9d93d5f7f24db48e38cce5315998c"", ""aa57ad49fadd7823c0e612cd95ed645941bf072306962f5ebce318458da912de"", ""4699ead463917a36ed4beb3b4a1c5cce1617193eed57b1d97576760beed981b8"", ""5b064987512385616053da03d2d2977e843ab4a0809aa92d277b0f553ba3e6fd"", ""b8f19bcd99eef664b0d147339f97b9725eb64685022b6ce21a5db10b606d8721"", ""42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.0, 20.125, 18.5, 15.9375, 14.4375, 13.125, 12.4375, 12.0625, 11.9375]",31872,41.25,4,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""5f4ccd3321ffe3814f85be9a743dcb177dd47e003e708ceb2c6325ac624d8a4c"", ""998e34854741f758c3426dd7acce29621df9d93d5f7f24db48e38cce5315998c"", ""aa57ad49fadd7823c0e612cd95ed645941bf072306962f5ebce318458da912de"", ""4699ead463917a36ed4beb3b4a1c5cce1617193eed57b1d97576760beed981b8"", ""5b064987512385616053da03d2d2977e843ab4a0809aa92d277b0f553ba3e6fd"", ""b8f19bcd99eef664b0d147339f97b9725eb64685022b6ce21a5db10b606d8721"", ""42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.0, 20.125, 18.5, 15.9375, 14.4375, 13.125, 12.4375, 12.0625, 11.9375]",31872,41.25,5,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""0f9e37487cdbb15e306c29d2522d263f96400fe4bcb3ccc2c820605d9cbe3e91"", ""7c57a907b0939f7bb9dac55eebe737e7dbb37d6395bf27b85a6b2950084169d2"", ""f50c8bf19aebf667225943c13e04c71d35382cf770a552b00d4ae255aa46e77d"", ""b9f993e4f65290daf2563b8f8d9c74048728f607fe15b4b49f53e41de9a4575c"", ""d59c49ba08f03fcd1d79237df1dc0a290d7428792e14a3da139d883218ccdccf"", ""134687d2664579f7bb7d6109bfeb45a67394b69a69626f3a4f386ee44726520b"", ""b1b7cde785c0f4478204ad0b5a8db87d5dbaaf6d3a47e08b53ccc0ba0cfd8969""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,b1b7cde785c0f4478204ad0b5a8db87d5dbaaf6d3a47e08b53ccc0ba0cfd8969,True,40.75,41.25,-0.5,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.25, 40.75, 20.125, 18.5, 16.0, 14.625, 13.375, 12.5, 12.125, 12.125]",31872,41.25,6,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""5f4ccd3321ffe3814f85be9a743dcb177dd47e003e708ceb2c6325ac624d8a4c"", ""998e34854741f758c3426dd7acce29621df9d93d5f7f24db48e38cce5315998c"", ""aa57ad49fadd7823c0e612cd95ed645941bf072306962f5ebce318458da912de"", ""4699ead463917a36ed4beb3b4a1c5cce1617193eed57b1d97576760beed981b8"", ""5b064987512385616053da03d2d2977e843ab4a0809aa92d277b0f553ba3e6fd"", ""b8f19bcd99eef664b0d147339f97b9725eb64685022b6ce21a5db10b606d8721"", ""42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,42f78f19dfadd332a8e97e41cf2a9bc964be59cb6c8f309ad93d9a297c9cbf26,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.0, 20.125, 18.5, 15.9375, 14.4375, 13.125, 12.4375, 12.0625, 11.9375]",31872,41.25,7,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]","[31900, 31870, 31915, 31882, 31862, 31913]",31872,149413e180e7644961b0b10dfbc38b3d4e9971321f9e755a0389aa0d5ba548e2,"[""e2eba08a1487b5005bf0ffeb4647697fb1050869090507f96bc9624e41f7dfd6"", ""fcec3afad141433be58a7b5769c4871f9441405ce24fd9e82727d03cd4058acc"", ""7e6329a77659bf18d88294e5189e021cf6ec329f7c6653ce5ba0de1ea9efd63d"", ""495aee53b41f446c8f6b91d6a13f7bbc6146bd4f765ba9615a7d6631f494a433"", ""bb70b0e932efe212c2eba4316398b4c83ad9225f584ff0dd783566a19fbe52c4"", ""49bef22fb369153a124319f42eb0abdd21ffaf3897414e494673c63aa4dcc67a"", ""627975c6d9f023ea83897da31713efc8d5cc591321dae8732e43ea44090cef21""]","[31900, 31870, 31915, 31882, 31862, 31913, 31872]",28,627975c6d9f023ea83897da31713efc8d5cc591321dae8732e43ea44090cef21,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.0, 20.25, 18.25, 16.0, 14.5625, 13.375, 12.5625, 12.0625, 12.0]",31872,41.25,8,C0_AUTO_DEVICE_MAP
"[31900, 31870, 31915, 31882, 31862, 31913, 31744]","[31900, 31870, 31915, 31882, 31862, 31913, 31744]","[31900, 31870, 31915, 31882, 31862, 31913]",31744,06f0c1fbd5fc5c1ce2e52f81e76dfc200e1deab4f60197fb78388c6c84d48ff1,"[""c55540e5fab87229d3fae6b3bcf9df7d78df8c2b69d3665b79246975d4c7f128"", ""5d2ce0415d55760bb46281c3e4d01d206af425f043d7a443bdbfeaeec7968ef7"", ""e75cbd55645b04fa6fd6ef742b1dfcdebd56f780f1ce71342bcda0c874b01ece"", ""aa0509f52e8dcd73a61c79174e9ed27fde75db34560f711176a01f2eeed3e978"", ""fac2c16c3a16f5106551bfc3a7f92982454ec46f913d41b62690dfff0cbf818d"", ""52cdbef2d8eeccdd553fa3fb38ea8cb427b2e388069c9ce2a7513a8908a0dcc5"", ""f93df67a80c48ff513276f4b07fedf084bd42a062e405a27f732130dc490b6f0""]","[31900, 31870, 31915, 31882, 31862, 31913, 31744]",28,f93df67a80c48ff513276f4b07fedf084bd42a062e405a27f732130dc490b6f0,True,41.25,41.25,0.0,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.25, 20.375, 18.5, 16.125, 14.3125, 13.625, 12.3125, 12.125, 11.8125]",31872,41.25,9,C0_AUTO_DEVICE_MAP
