threshold,tp,fp,tn,fn,PosRec,NegRec,FPR,BalAcc,MCC
41.28,9,6,0,0,1.0,0.0,1.0,0.5,0.0
41.9,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
42.53,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
43.16,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
43.78,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
44.41,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
45.04,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
45.66,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
46.29,9,5,1,0,1.0,0.1667,0.8333,0.5833,0.3273
46.92,7,4,2,2,0.7778,0.3333,0.6667,0.5556,0.1231
47.54,5,4,2,4,0.5556,0.3333,0.6667,0.4444,-0.1111
48.17,5,4,2,4,0.5556,0.3333,0.6667,0.4444,-0.1111
48.8,5,4,2,4,0.5556,0.3333,0.6667,0.4444,-0.1111
49.42,5,4,2,4,0.5556,0.3333,0.6667,0.4444,-0.1111
50.05,4,4,2,5,0.4444,0.3333,0.6667,0.3889,-0.2182
50.68,3,3,3,6,0.3333,0.5,0.5,0.4167,-0.1667
51.3,1,3,3,8,0.1111,0.5,0.5,0.3056,-0.4308
51.93,0,2,4,9,0.0,0.6667,0.3333,0.3333,-0.4804
52.56,0,1,5,9,0.0,0.8333,0.1667,0.4167,-0.3273
53.18,0,1,5,9,0.0,0.8333,0.1667,0.4167,-0.3273
