step,fgsm1_grad_norm,fgsm1_open_score_gain,fgsm1_loss_delta,fgsm1_open_prob_gain,fgsm1_token_flip,fgsm1_probe_status,fgsm1_probe_error,pgd1_grad_norm,pgd1_open_score_gain,pgd1_loss_delta,pgd1_open_prob_gain,pgd1_token_flip,pgd1_probe_status,pgd1_probe_error,pgd3_grad_norm,pgd3_open_score_gain,pgd3_loss_delta,pgd3_open_prob_gain,pgd3_token_flip,pgd3_probe_status,pgd3_probe_error,max_open_score_gain,max_grad_norm,any_token_flip,any_probe_error,open_token_count,close_token_count,task_key,state_id,window_start,window_end,label_status,taxonomy
15,20.5,-0.241951,0.241951,0.0,False,ok,,20.375,-0.222386,0.222386,0.0,False,ok,,18.0,-0.402618,0.402618,0.0,False,ok,,-0.222386,20.5,0,0,127,128,bbq_sauce,0,15,32,ignore,polluted
23,17.75,-0.201782,0.201782,0.0,False,ok,,20.75,-0.756801,0.756801,0.0,False,ok,,0.527344,-0.678104,0.678104,0.0,True,ok,,-0.201782,20.75,1,0,127,128,bbq_sauce,0,15,32,ignore,polluted
32,18.25,0.688122,-0.688122,0.0,True,ok,,19.25,0.688041,-0.688041,0.0,True,ok,,0.640625,1.588726,-1.588726,0.0,True,ok,,1.588726,19.25,1,0,127,128,bbq_sauce,0,15,32,ignore,polluted
5,12.3125,-2.037559,2.037559,0.0,True,ok,,12.5,-1.688965,1.688965,0.0,True,ok,,12.25,-1.355419,1.355419,0.0,True,ok,,-1.355419,12.5,1,0,127,128,bbq_sauce,0,5,22,negative,no_action_bridge
13,11.75,-0.291203,0.291203,0.0,True,ok,,11.75,0.100143,-0.100143,0.0,False,ok,,15.875,1.098492,-1.098492,0.0,True,ok,,1.098492,15.875,1,0,127,128,bbq_sauce,0,5,22,negative,no_action_bridge
22,15.6875,0.048946,-0.048946,0.0,False,ok,,15.75,0.17202,-0.17202,0.0,False,ok,,0.53125,1.040786,-1.040786,0.0,False,ok,,1.040786,15.75,0,0,127,128,bbq_sauce,0,5,22,negative,no_action_bridge
28,22.375,0.825325,-0.825325,0.0,True,ok,,89.5,1.128509,-1.128509,0.0,False,ok,,23.75,0.635368,-0.635368,0.0,False,ok,,1.128509,89.5,1,0,127,128,ketchup,4,28,45,negative,no_action_bridge
36,34.5,1.297207,-1.297207,0.0,True,ok,,34.5,1.241261,-1.241261,0.0,True,ok,,15.0,1.029991,-1.029991,0.0,True,ok,,1.297207,34.5,1,0,127,128,ketchup,4,28,45,negative,no_action_bridge
45,8.875,2.156052,-2.156052,0.0,True,ok,,8.875,2.219254,-2.219254,0.0,True,ok,,11.875,1.154072,-1.154072,0.0,False,ok,,2.219254,11.875,1,0,127,128,ketchup,4,28,45,negative,no_action_bridge
18,21.75,0.846863,-0.846863,0.0,True,ok,,21.625,1.033012,-1.033012,0.0,True,ok,,0.648438,-0.492275,0.492275,0.0,True,ok,,1.033012,21.75,1,0,127,128,milk,1,18,35,negative,no_action_bridge
