task_key,state_id,window_start,window_end,step,raw_gripper_action,distance_to_boundary,open_close_decision
alphabet_soup,0,3,20,5,0.99607843,0.49607843,0
alphabet_soup,0,3,20,6,0.99607843,0.49607843,0
alphabet_soup,0,3,20,7,0.99607843,0.49607843,0
alphabet_soup,0,3,20,8,0.99607843,0.49607843,0
alphabet_soup,0,3,20,9,0.99607843,0.49607843,0
alphabet_soup,0,3,20,10,0.99607843,0.49607843,0
alphabet_soup,0,3,20,11,0.99607843,0.49607843,0
alphabet_soup,0,3,20,12,0.99607843,0.49607843,0
alphabet_soup,0,3,20,13,0.99607843,0.49607843,0
alphabet_soup,0,3,20,14,0.99607843,0.49607843,0
alphabet_soup,0,3,20,15,0.99607843,0.49607843,0
alphabet_soup,0,3,20,16,0.99607843,0.49607843,0
alphabet_soup,0,3,20,17,0.99607843,0.49607843,0
alphabet_soup,0,3,20,18,0.99607843,0.49607843,0
alphabet_soup,0,3,20,19,0.99607843,0.49607843,0
alphabet_soup,0,3,20,20,0.99607843,0.49607843,0
alphabet_soup,3,21,38,21,0.99607843,0.49607843,0
alphabet_soup,3,21,38,22,0.99607843,0.49607843,0
alphabet_soup,3,21,38,23,0.99607843,0.49607843,0
alphabet_soup,3,21,38,24,0.99607843,0.49607843,0
alphabet_soup,3,21,38,25,0.99607843,0.49607843,0
alphabet_soup,3,21,38,26,0.99607843,0.49607843,0
alphabet_soup,3,21,38,27,0.99607843,0.49607843,0
alphabet_soup,3,21,38,28,0.99607843,0.49607843,0
alphabet_soup,3,21,38,29,0.99607843,0.49607843,0
alphabet_soup,3,21,38,30,0.99607843,0.49607843,0
alphabet_soup,3,21,38,31,0.99607843,0.49607843,0
alphabet_soup,3,21,38,32,0.99607843,0.49607843,0
alphabet_soup,3,21,38,33,0.99607843,0.49607843,0
alphabet_soup,3,21,38,34,0.99607843,0.49607843,0
alphabet_soup,3,21,38,35,0.99607843,0.49607843,0
alphabet_soup,3,21,38,36,0.99607843,0.49607843,0
alphabet_soup,3,21,38,37,0.99607843,0.49607843,0
alphabet_soup,3,21,38,38,0.99607843,0.49607843,0
alphabet_soup,4,4,21,5,0.99607843,0.49607843,0
alphabet_soup,4,4,21,6,0.99607843,0.49607843,0
alphabet_soup,4,4,21,7,0.99607843,0.49607843,0
alphabet_soup,4,4,21,8,0.99607843,0.49607843,0
alphabet_soup,4,4,21,9,0.99607843,0.49607843,0
alphabet_soup,4,4,21,10,0.99607843,0.49607843,0
alphabet_soup,4,4,21,11,0.99607843,0.49607843,0
alphabet_soup,4,4,21,12,0.99607843,0.49607843,0
alphabet_soup,4,4,21,13,0.99607843,0.49607843,0
alphabet_soup,4,4,21,14,0.99607843,0.49607843,0
alphabet_soup,4,4,21,15,0.99607843,0.49607843,0
alphabet_soup,4,4,21,16,0.99607843,0.49607843,0
alphabet_soup,4,4,21,17,0.99607843,0.49607843,0
alphabet_soup,4,4,21,18,0.99607843,0.49607843,0
alphabet_soup,4,4,21,19,0.99607843,0.49607843,0
alphabet_soup,4,4,21,20,0.99607843,0.49607843,0
alphabet_soup,4,4,21,21,0.99607843,0.49607843,0
alphabet_soup,6,40,57,40,0.99607843,0.49607843,0
alphabet_soup,6,40,57,41,0.99607843,0.49607843,0
alphabet_soup,6,40,57,42,0.99607843,0.49607843,0
alphabet_soup,6,40,57,43,0.99607843,0.49607843,0
alphabet_soup,6,40,57,44,0.99607843,0.49607843,0
alphabet_soup,6,40,57,45,0.99607843,0.49607843,0
alphabet_soup,6,40,57,46,0.99607843,0.49607843,0
alphabet_soup,6,40,57,47,0.99607843,0.49607843,0
alphabet_soup,6,40,57,48,0.99607843,0.49607843,0
alphabet_soup,6,40,57,49,0.99607843,0.49607843,0
alphabet_soup,6,40,57,50,0.99607843,0.49607843,0
alphabet_soup,6,40,57,51,0.99607843,0.49607843,0
alphabet_soup,6,40,57,52,0.99607843,0.49607843,0
alphabet_soup,6,40,57,53,0.99607843,0.49607843,0
alphabet_soup,6,40,57,54,0.99607843,0.49607843,0
alphabet_soup,6,40,57,55,0.99607843,0.49607843,0
alphabet_soup,6,40,57,56,0.99607843,0.49607843,0
alphabet_soup,6,40,57,57,0.99607843,0.49607843,0
alphabet_soup,8,29,46,29,0.99607843,0.49607843,0
alphabet_soup,8,29,46,30,0.99607843,0.49607843,0
alphabet_soup,8,29,46,31,0.99607843,0.49607843,0
alphabet_soup,8,29,46,32,0.99607843,0.49607843,0
alphabet_soup,8,29,46,33,0.99607843,0.49607843,0
alphabet_soup,8,29,46,34,0.99607843,0.49607843,0
alphabet_soup,8,29,46,35,0.99607843,0.49607843,0
alphabet_soup,8,29,46,36,0.99607843,0.49607843,0
alphabet_soup,8,29,46,37,0.99607843,0.49607843,0
alphabet_soup,8,29,46,38,0.99607843,0.49607843,0
alphabet_soup,8,29,46,39,0.99607843,0.49607843,0
alphabet_soup,8,29,46,40,0.99607843,0.49607843,0
alphabet_soup,8,29,46,41,0.99607843,0.49607843,0
alphabet_soup,8,29,46,42,0.99607843,0.49607843,0
alphabet_soup,8,29,46,43,0.99607843,0.49607843,0
alphabet_soup,8,29,46,44,0.99607843,0.49607843,0
alphabet_soup,8,29,46,45,0.99607843,0.49607843,0
alphabet_soup,8,29,46,46,0.99607843,0.49607843,0
bbq_sauce,0,15,32,15,0.99607843,0.49607843,0
bbq_sauce,0,15,32,16,0.99607843,0.49607843,0
bbq_sauce,0,15,32,17,0.99607843,0.49607843,0
bbq_sauce,0,15,32,18,0.99607843,0.49607843,0
bbq_sauce,0,15,32,19,0.99607843,0.49607843,0
bbq_sauce,0,15,32,20,0.99607843,0.49607843,0
bbq_sauce,0,15,32,21,0.99607843,0.49607843,0
bbq_sauce,0,15,32,22,0.99607843,0.49607843,0
bbq_sauce,0,15,32,23,0.99607843,0.49607843,0
bbq_sauce,0,15,32,24,0.99607843,0.49607843,0
bbq_sauce,0,15,32,25,0.99607843,0.49607843,0
bbq_sauce,0,15,32,26,0.99607843,0.49607843,0
bbq_sauce,0,15,32,27,0.99607843,0.49607843,0
bbq_sauce,0,15,32,28,0.99607843,0.49607843,0
