window_id,task_key,state_id,window_start,window_end,feature_source,features_available,n_window_frames,n_total_steps,gripper_qpos_mean,gripper_qpos_std,gripper_qpos_min,gripper_qpos_max,gripper_qpos_at_start,gripper_qpos_range,gripper_is_closed,gripper_is_open,gripper_width_mean,gripper_width_std,gripper_command_mean,gripper_command_std,gripper_command_open_rate,grip_action_mean,grip_action_std,clean_open_count,clean_open_rate,clean_longest_open_streak,eef_displacement,eef_z_mean,eef_z_trend,qpos_delta_from_pre,grip_delta_from_pre,window_start_frac,window_center_frac,steps_remaining,mechanism_type,mechanism_eligible,recommended_use
alphabet_soup_s0_teacher_w134_143,alphabet_soup,0,134,143,object100_step_records_teacher_window,yes,10,159,0.030519,2e-05,0.03046,0.030533,0.03046,7.4e-05,0.0,0.0,0.030519,2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.071626,0.2338,-0.0701,8.4e-05,0.0,0.8428,0.8711,16,pick_place_transfer,True,use_teacher_window
alphabet_soup_s2_teacher_w116_125,alphabet_soup,2,116,125,object100_step_records_teacher_window,yes,10,145,0.030546,1.5e-05,0.030522,0.030569,0.030522,4.7e-05,0.0,0.0,0.030546,1.5e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.096032,0.2888,-0.005,6.7e-05,0.0,0.8,0.831,20,pick_place_transfer,True,use_teacher_window
alphabet_soup_s3_teacher_w128_137,alphabet_soup,3,128,137,object100_step_records_teacher_window,yes,10,165,0.033594,0.001339,0.032784,0.036418,0.032797,0.003634,0.0,0.0,0.033594,0.001339,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.063939,0.2084,-0.0547,0.00084,0.0,0.7758,0.803,28,pick_place_transfer,True,use_teacher_window
alphabet_soup_s4_teacher_w132_141,alphabet_soup,4,132,141,object100_step_records_teacher_window,yes,10,152,0.029583,3e-06,0.029579,0.029588,0.029588,9e-06,1.0,0.0,0.029583,3e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.028815,0.1729,-0.0283,1e-06,0.0,0.8684,0.898,11,pick_place_transfer,True,use_teacher_window
alphabet_soup_s6_teacher_w136_145,alphabet_soup,6,136,145,object100_step_records_teacher_window,yes,10,156,0.035983,9e-06,0.035969,0.035997,0.035997,2.8e-05,0.0,1.0,0.035983,9e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.067931,0.2059,-0.0633,1.5e-05,0.0,0.8718,0.9006,11,pick_place_transfer,True,use_teacher_window
alphabet_soup_s7_teacher_w151_160,alphabet_soup,7,151,160,object100_step_records_teacher_window,yes,10,179,0.031458,1.8e-05,0.031429,0.031486,0.031429,5.7e-05,0.0,0.0,0.031458,1.8e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.096581,0.2879,-0.0044,9.5e-05,0.0,0.8436,0.8687,19,pick_place_transfer,True,use_teacher_window
alphabet_soup_s8_teacher_w131_140,alphabet_soup,8,131,140,object100_step_records_teacher_window,yes,10,152,0.030784,2e-06,0.030781,0.030787,0.030786,6e-06,0.0,0.0,0.030784,2e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.069761,0.2419,-0.0639,4.7e-05,0.0,0.8618,0.8914,12,pick_place_transfer,True,use_teacher_window
alphabet_soup_s9_teacher_w146_155,alphabet_soup,9,146,155,object100_step_records_teacher_window,yes,10,173,0.031406,3e-06,0.031401,0.031412,0.031404,1.1e-05,0.0,0.0,0.031406,3e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.043838,0.1868,-0.0415,2.6e-05,0.0,0.8439,0.8699,18,pick_place_transfer,True,use_teacher_window
bbq_sauce_s0_teacher_w157_166,bbq_sauce,0,157,166,object100_step_records_teacher_window,yes,10,177,0.013456,7e-06,0.013441,0.013463,0.013458,2.2e-05,1.0,0.0,0.013456,7e-06,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.084356,0.2709,-0.0428,-9e-06,0.0,0.887,0.9124,11,pick_place_transfer,True,use_teacher_window
bbq_sauce_s4_teacher_w127_136,bbq_sauce,4,127,136,object100_step_records_teacher_window,yes,10,147,0.017726,3.4e-05,0.017666,0.017775,0.017666,0.000109,1.0,0.0,0.017726,3.4e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.080315,0.2463,-0.0656,0.000284,0.0,0.8639,0.8946,11,pick_place_transfer,True,use_teacher_window
bbq_sauce_s5_teacher_w180_189,bbq_sauce,5,180,189,object100_step_records_teacher_window,yes,10,200,0.006539,0.000169,0.006271,0.006795,0.006795,0.000524,1.0,0.0,0.006539,0.000169,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.076684,0.2797,-0.0303,-0.000759,0.0,0.9,0.9225,11,pick_place_transfer,True,use_teacher_window
bbq_sauce_s9_teacher_w128_137,bbq_sauce,9,128,137,object100_step_records_teacher_window,yes,10,148,0.014625,0.000414,0.013976,0.015284,0.013976,0.001308,1.0,0.0,0.014625,0.000414,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.065693,0.2262,-0.0601,0.002689,0.0,0.8649,0.8953,11,pick_place_transfer,True,use_teacher_window
butter_s0_teacher_w130_139,butter,0,130,139,object100_step_records_teacher_window,yes,10,151,0.019716,1.2e-05,0.019697,0.019734,0.019734,3.7e-05,1.0,0.0,0.019716,1.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.072929,0.2079,-0.0696,-2.5e-05,0.0,0.8609,0.8907,12,pick_place_transfer,True,use_teacher_window
butter_s2_teacher_w161_170,butter,2,161,170,object100_step_records_teacher_window,yes,10,208,0.01964,2.4e-05,0.019621,0.019685,0.019657,6.5e-05,1.0,0.0,0.01964,2.4e-05,0.298824,0.45646,0.3,0.4,0.916515,3,0.3,2,0.008559,0.1819,-0.0048,-4.5e-05,0.249,0.774,0.7957,38,pick_place_transfer,True,use_teacher_window
butter_s3_teacher_w223_232,butter,3,223,232,object100_step_records_teacher_window,yes,10,243,0.019787,1.2e-05,0.019766,0.019803,0.0198,3.7e-05,1.0,0.0,0.019787,1.2e-05,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.085496,0.2206,-0.0748,1e-05,0.0,0.9177,0.9362,11,pick_place_transfer,True,use_teacher_window
