run_id,episode_key,suite,task_name,state_id,seed,condition,num_steps,has_frames,has_trace_csv,has_gripper,has_qpos,has_eef,has_action,has_language,has_privileged_object_pose,parse_status,notes
obj100_alphabet_soup_alphabet_soup_s0,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::0::0::obj100_alphabet_soup_alphabet_soup_s0,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,0,clean,149,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s1,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::1::0::obj100_alphabet_soup_alphabet_soup_s1,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,1,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s2,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::2::0::obj100_alphabet_soup_alphabet_soup_s2,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,0,clean,135,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s3,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::3::0::obj100_alphabet_soup_alphabet_soup_s3,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,3,0,clean,155,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s4,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::4::0::obj100_alphabet_soup_alphabet_soup_s4,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,4,0,clean,142,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s5,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::5::0::obj100_alphabet_soup_alphabet_soup_s5,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,5,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s6,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::6::0::obj100_alphabet_soup_alphabet_soup_s6,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,6,0,clean,146,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s7,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::7::0::obj100_alphabet_soup_alphabet_soup_s7,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,7,0,clean,169,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s8,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::8::0::obj100_alphabet_soup_alphabet_soup_s8,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,8,0,clean,142,True,False,True,True,True,True,True,False,OK,
obj100_alphabet_soup_alphabet_soup_s9,libero_object::0::pick_up_the_alphabet_soup_and_place_it_in_the_basket::9::0::obj100_alphabet_soup_alphabet_soup_s9,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket,9,0,clean,163,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s0,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::0::0::obj100_cream_cheese_cream_cheese_s0,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,0,0,clean,153,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s1,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::1::0::obj100_cream_cheese_cream_cheese_s1,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,1,0,clean,153,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s2,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::2::0::obj100_cream_cheese_cream_cheese_s2,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,2,0,clean,135,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s3,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::3::0::obj100_cream_cheese_cream_cheese_s3,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,3,0,clean,145,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s4,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::4::0::obj100_cream_cheese_cream_cheese_s4,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,4,0,clean,177,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s5,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::5::0::obj100_cream_cheese_cream_cheese_s5,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,5,0,clean,153,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s6,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::6::0::obj100_cream_cheese_cream_cheese_s6,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,6,0,clean,134,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s7,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::7::0::obj100_cream_cheese_cream_cheese_s7,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,7,0,clean,133,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s8,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::8::0::obj100_cream_cheese_cream_cheese_s8,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,8,0,clean,130,True,False,True,True,True,True,True,False,OK,
obj100_cream_cheese_cream_cheese_s9,libero_object::1::pick_up_the_cream_cheese_and_place_it_in_the_basket::9::0::obj100_cream_cheese_cream_cheese_s9,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,9,0,clean,121,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s0,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::0::0::obj100_salad_dressing_salad_dressing_s0,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,0,0,clean,121,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s1,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::1::0::obj100_salad_dressing_salad_dressing_s1,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,1,0,clean,124,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s2,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::2::0::obj100_salad_dressing_salad_dressing_s2,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,2,0,clean,111,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s3,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::3::0::obj100_salad_dressing_salad_dressing_s3,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,clean,127,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s4,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::4::0::obj100_salad_dressing_salad_dressing_s4,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,4,0,clean,118,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s5,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::5::0::obj100_salad_dressing_salad_dressing_s5,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,5,0,clean,159,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s6,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::6::0::obj100_salad_dressing_salad_dressing_s6,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,6,0,clean,144,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s7,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::7::0::obj100_salad_dressing_salad_dressing_s7,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,7,0,clean,138,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s8,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::8::0::obj100_salad_dressing_salad_dressing_s8,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,8,0,clean,104,True,False,True,True,True,True,True,False,OK,
obj100_salad_dressing_salad_dressing_s9,libero_object::2::pick_up_the_salad_dressing_and_place_it_in_the_basket::9::0::obj100_salad_dressing_salad_dressing_s9,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket,9,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s0,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::0::0::obj100_bbq_sauce_bbq_sauce_s0,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,0,clean,167,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s1,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::1::0::obj100_bbq_sauce_bbq_sauce_s1,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,1,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s2,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::2::0::obj100_bbq_sauce_bbq_sauce_s2,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,2,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s3,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::3::0::obj100_bbq_sauce_bbq_sauce_s3,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,3,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s4,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::4::0::obj100_bbq_sauce_bbq_sauce_s4,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,4,0,clean,137,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s5,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::5::0::obj100_bbq_sauce_bbq_sauce_s5,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,5,0,clean,190,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s6,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::6::0::obj100_bbq_sauce_bbq_sauce_s6,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,6,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s7,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::7::0::obj100_bbq_sauce_bbq_sauce_s7,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,7,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s8,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::8::0::obj100_bbq_sauce_bbq_sauce_s8,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,8,0,clean,280,True,False,True,True,True,True,True,False,OK,
obj100_bbq_sauce_bbq_sauce_s9,libero_object::3::pick_up_the_bbq_sauce_and_place_it_in_the_basket::9::0::obj100_bbq_sauce_bbq_sauce_s9,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,clean,138,True,False,True,True,True,True,True,False,OK,
obj100_ketchup_ketchup_s0,libero_object::4::pick_up_the_ketchup_and_place_it_in_the_basket::0::0::obj100_ketchup_ketchup_s0,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket,0,0,clean,159,True,False,True,True,True,True,True,False,OK,
obj100_ketchup_ketchup_s1,libero_object::4::pick_up_the_ketchup_and_place_it_in_the_basket::1::0::obj100_ketchup_ketchup_s1,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket,1,0,clean,180,True,False,True,True,True,True,True,False,OK,
