Warning: Permanently added '10.60.133.3' (ED25519) to the list of known hosts.
Warning: Permanently added '10.60.133.4' (ED25519) to the list of known hosts.
parent_id,pair_id,task_key,state_id,seed,window_start,window_end,source_batch,cmd_any_raw,cmd_specific,random_sensitive,phys_any_raw,vis_specific_physical,label_tier,silver_status,n_silver_repeats,vis_cmd_rate,rand_cmd_rate,vis_phys_rate,bronze_cmd_orig,bronze_phys_orig,bronze_rand_orig,clean_open_count,clean_open_frac,raw_gripper_mean,raw_gripper_max,qpos_pre,qpos_mean,qpos_max,qpos_slope,eef_disp,stratum,actual_max_step,trace_version,source_snapshot_id,prompt_style,image_preprocess_style,qpos_source,open_convention,freeze_sha,source_feature_table
bronze_alphabet_soup_s0_w25_35,bronze_alphabet_soup_s0_w25_35,alphabet_soup,0,0,25,35,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,3,0.273,0.2717,0.9961,0.00219,0.003072,0.004044,0.000122,0.000459,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w30_40,bronze_alphabet_soup_s0_w30_40,alphabet_soup,0,0,30,40,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,1,0.091,0.0906,0.9961,0.002949,0.002945,0.004044,-0.0001096,0.00066,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w35_45,bronze_alphabet_soup_s0_w35_45,alphabet_soup,0,0,35,45,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,0,0.0,0.0,0.0,0.004044,0.002135,0.003304,-0.0001717,0.000863,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w40_50,bronze_alphabet_soup_s0_w40_50,alphabet_soup,0,0,40,50,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,0,0.0,0.0,0.0,0.002106,0.001606,0.002014,-7.39e-05,0.00035,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w45_55,bronze_alphabet_soup_s0_w45_55,alphabet_soup,0,0,45,55,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,2,0.182,0.1811,0.9961,0.001658,0.001725,0.003261,0.0001674,0.000815,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w50_60,bronze_alphabet_soup_s0_w50_60,alphabet_soup,0,0,50,60,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,3,0.273,0.2717,0.9961,0.001332,0.002442,0.004022,0.0001445,0.000705,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w55_65,bronze_alphabet_soup_s0_w55_65,alphabet_soup,0,0,55,65,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,5,0.455,0.4528,0.9961,0.003012,0.003718,0.007102,0.0003841,0.002056,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s0_w60_70,bronze_alphabet_soup_s0_w60_70,alphabet_soup,0,0,60,70,silver,-1,1,1,-1,0,silver_cmd,stable_cmd+phys,1,1.0,0.0,1.0,0,1,1,6,0.545,0.5433,0.9961,0.002406,0.01463,0.036387,0.0033667,0.016833,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,silver_override
bronze_alphabet_soup_s0_w65_75,bronze_alphabet_soup_s0_w65_75,alphabet_soup,0,0,65,75,rescue,-1,-1,-1,-1,-1,rescue_unstable,unstable,2,0.0,0.5,0.0,0,1,0,7,0.636,0.6339,0.9961,0.004168,0.024885,0.036387,0.0018922,0.0093,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,rescue_override
bronze_alphabet_soup_s1_w55_65,bronze_alphabet_soup_s1_w55_65,alphabet_soup,1,1,55,65,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,0,0.0,0.0,0.0,0.002277,0.001737,0.002149,-7.68e-05,0.000412,medium_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_alphabet_soup_s2_w135_145,bronze_alphabet_soup_s2_w135_145,alphabet_soup,2,2,135,145,silver,-1,0,0,-1,0,silver_hard_neg,hard_neg,1,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.039306,0.039363,0.039766,4.61e-05,0.003093,high_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,silver_override
bronze_alphabet_soup_s2_w140_150,bronze_alphabet_soup_s2_w140_150,alphabet_soup,2,2,140,150,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,0,0.0,0.0,0.0,0.039306,0.039937,0.041137,0.0001831,0.014219,high_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_bbq_sauce_s0_w70_80,bronze_bbq_sauce_s0_w70_80,bbq_sauce,0,0,70,80,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,0,0.0,0.0,0.0,0.031759,0.031754,0.031758,-7e-07,2.1e-05,medium_opportunity,140,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_bbq_sauce_s0_w75_85,bronze_bbq_sauce_s0_w75_85,bbq_sauce,0,0,75,85,bronze,-1,0,0,-1,0,bronze,,0,,,,,,,0,0.0,0.0,0.0,0.031754,0.031751,0.031753,-3e-07,9e-06,medium_opportunity,140,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,bronze
bronze_bbq_sauce_s2_w70_80,bronze_bbq_sauce_s2_w70_80,bbq_sauce,2,2,70,80,silver,-1,0,0,-1,0,silver_hard_neg,hard_neg,2,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.041266,0.008836,0.031624,-0.0029529,0.01479,high_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,silver_override
bronze_bbq_sauce_s2_w75_85,bronze_bbq_sauce_s2_w75_85,bbq_sauce,2,2,75,85,rescue,-1,0,0,-1,0,rescue_hard_neg,unstable,2,0.0,0.5,0.0,0,1,0,0,0.0,0.0,0.0,0.005576,0.002325,0.004,-0.0002318,0.001198,high_opportunity,299,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,rescue_override
bronze_butter_s0_w80_90,bronze_butter_s0_w80_90,butter,0,0,80,90,silver,-1,1,0,-1,0,silver_cmd,stable_cmd,2,1.0,0.0,0.5,1,1,0,2,0.182,0.1811,0.9961,0.00262,0.004624,0.009634,6.3e-06,2.8e-05,medium_opportunity,261,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,obs_robot0_gripper_qpos,env_action_6_lt_neg_0p5_means_OPEN,d4a3827,silver_override
