job_id,task,state_id,window_start,window_end,open_duration,condition,pair_id,gpu_pair,output_dir,max_steps
900000,milk,0,70,80,10,clean,milk_s0_w70_80_L10_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900001,milk,0,70,80,10,oracle_open,milk_s0_w70_80_L10_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900002,milk,0,70,80,20,clean,milk_s0_w70_80_L20_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900003,milk,0,70,80,20,oracle_open,milk_s0_w70_80_L20_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900008,butter,0,90,100,10,clean,butter_s0_w90_100_L10_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900009,butter,0,90,100,10,oracle_open,butter_s0_w90_100_L10_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900010,butter,0,90,100,20,clean,butter_s0_w90_100_L20_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900011,butter,0,90,100,20,oracle_open,butter_s0_w90_100_L20_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900016,tomato_sauce,2,165,175,10,clean,tomato_sauce_s2_w165_175_L10_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900017,tomato_sauce,2,165,175,10,oracle_open,tomato_sauce_s2_w165_175_L10_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900024,cream_cheese,0,65,75,10,clean,cream_cheese_s0_w65_75_L10_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
900025,cream_cheese,0,65,75,10,oracle_open,cream_cheese_s0_w65_75_L10_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard10,400
