finding_id,area,status,severity,file_or_scope,evidence,required_action
RC1-001,manifest_completeness,PARTIAL,medium,tables/stageb_v1_1_rc1_file_manifest.csv,"Manifest has 38 rows and includes core runtime files, but omits scripts/diagnostics/generate_stageb_worker_scripts.py.","Add diagnostic worker generator to manifest or explicitly mark it out of RC1 scope."
RC1-002,runner_spec_import,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner imports OPENVLA_LIBERO_EXEC_SPEC_VERSION official_prompt gripper semantic helpers and get_libero_image_official from openvla_libero_exec_spec.","No action required."
RC1-003,trace_version,PASS,info,scripts/run_stageb_vis_labeling.py,"TRACE_VERSION is corrected_stageb_v1_1 and downstream scripts require corrected_stageb_v1_1.","No action required."
RC1-004,prompt_style,PASS,info,scripts/run_stageb_vis_labeling.py,"PROMPT_STYLE is official_in_out and runner calls official_prompt.","No action required."
RC1-005,image_preprocess_style,PASS,info,scripts/run_stageb_vis_labeling.py,"IMAGE_PREPROCESS_STYLE is explicit: official_rot180_only or legacy_direct_agentview_no_rotation.","No action required."
RC1-006,qpos_source,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner writes qpos_source as obs_robot0_gripper_qpos.","No action required."
RC1-007,decoded_open_bool,PASS,info,scripts/run_stageb_vis_labeling.py,"decoded_open_bool is computed from env_gripper_is_open(env_action_6).","No action required."
RC1-008,postprocess_v1_1_gate,PASS,high,scripts/stageb/postprocess_traces_v1_1.py,"Postprocess rejects non-corrected_stageb_v1_1 traces and exits non-zero when rejected traces are present.","No action required."
RC1-009,label_builder_v1_1_gate,PASS,high,scripts/stageb/build_pair_labels_v1_1.py,"Label builder rejects pre-v1.1 traces unexpected conditions duplicate rows unpaired rows and unreachable/no-intervention windows.","No action required."
RC1-010,old_label_quarantine,PASS,high,reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,"Freeze report requires QUARANTINED_OPEN_SEMANTICS_INVERTED_OR_UNVERIFIED for all pre-RC1 Stage-B labels and pre-corrected traces.","No action required."
RC1-011,server_core_sha,PASS,high,server:/data/liuyu/repos/openvla-gripper-dutycycle-attack-reviewed-20260605,"Server SHA for spec runner label_builder and validator match the RC1 freeze report; local CRLF raw SHA differs but LF-normalized SHA matches for spec/validator.","No action required for core runtime files."
RC1-012,server_manifest_paths,PARTIAL_FAIL,high,server:/data/liuyu/repos/openvla-gripper-dutycycle-attack-reviewed-20260605,"8 manifest paths were missing on server: six test files plus OPENVLA_LIBERO_EXECUTABLE_SPEC.md and CODEX_STAGEB_V1_1_SMOKE_R3_LIVE_AUDIT.md.","Sync missing manifest files or scope server snapshot as runtime-core only."
RC1-013,server_git_state,WARNING,medium,server git worktree,"Server HEAD is ca3a97e with dirty/manual-uploaded RC1 files, not a clean bbd2d98 or ca57070 checkout.","Do not use server git HEAD alone as provenance; rely on file SHA and trace metadata."
RC1-014,freeze_coordinate_clarity,WARNING,low,reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,"Freeze report lists Commit SHA ca570704 while the freeze report commit is bbd2d98.","Clarify code baseline commit vs report commit if updating freeze docs."
RC1-015,local_validation,PASS,info,local RC1 worktree,"py_compile passed for core files and local RC1 test run reported 41 passed in 0.27s.","No action required."
RC1-016,known_limitations,BOUNDARY,medium,reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,"official_rot180_only and old queue window reachability limitations are explicitly documented.","Run v1.1 clean reachability scan before any larger smoke/batch."
