suite,task_idx,task_name,instruction,mechanism_type,eligible_for_gripper_duty,expected_event_count,object_names,target_names,parser_confidence,reason,manual_review_required
libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,pick up the black bowl between the plate and the ramekin and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,pick up the black bowl next to the ramekin and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,pick up the black bowl from table center and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl on the cookie box and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|cabinet|bowl|drawer,high,single_grasp_place_or_put,false
libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pick up the black bowl on the ramekin and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,pick up the black bowl next to the cookie box and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,pick up the black bowl on the stove and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|stove|bowl,high,single_grasp_place_or_put,false
libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,pick up the black bowl next to the plate and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|bowl,high,single_grasp_place_or_put,false
libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,pick up the black bowl on the wooden cabinet and place it on the plate,single_object_pick_place,true,1,black_bowl|plate|bowl,plate|cabinet|bowl,high,single_grasp_place_or_put,false
