run_id,task,condition,phase_name,window_start,window_end,attacked_frames,OPEN_count,longest_OPEN_streak,token_flips,qpos_delta_pre,qpos_delta_post,width_delta_post,armL2,failure_after_phase
vismp_cream_cheese_state0_seed0_random_matched_ultra_three_phase_d20_d20_d20_20260602_133132,cream_cheese,random_matched_ultra_three_phase_d20_d20_d20,contact_grasp_onset,65,84,20,0,0,0,0.000566,0.000522,0.001252,0.0467,False
vismp_cream_cheese_state0_seed0_random_matched_ultra_three_phase_d20_d20_d20_20260602_133132,cream_cheese,random_matched_ultra_three_phase_d20_d20_d20,early_lift_carry,90,109,20,0,0,0,3.6e-05,3.5e-05,3.9e-05,0.048662,False
vismp_cream_cheese_state0_seed0_random_matched_ultra_three_phase_d20_d20_d20_20260602_133132,cream_cheese,random_matched_ultra_three_phase_d20_d20_d20,preplace_release,120,139,20,9,3,5,0.00058,0.000431,0.000498,0.182035,False
vismp_cream_cheese_state0_seed0_single_best_phase_d20_20260602_135220,cream_cheese,single_best_phase_d20,contact_grasp_onset,65,84,20,8,2,11,0.000541,0.000541,0.000877,0.845815,False
vismp_cream_cheese_state0_seed0_three_phase_strong_d16_d16_d16_20260602_142703,cream_cheese,three_phase_strong_d16_d16_d16,contact_grasp_onset,65,80,16,13,8,11,0.016281,0.016903,0.033413,0.873966,False
vismp_cream_cheese_state0_seed0_three_phase_strong_d16_d16_d16_20260602_142703,cream_cheese,three_phase_strong_d16_d16_d16,early_lift_carry,90,105,16,10,6,6,0.008076,0.007845,0.015696,0.867378,False
vismp_cream_cheese_state0_seed0_three_phase_strong_d16_d16_d16_20260602_142703,cream_cheese,three_phase_strong_d16_d16_d16,preplace_release,120,135,16,1,1,3,0.012773,0.008763,0.021408,0.431961,False
vismp_cream_cheese_state0_seed0_ultra_three_phase_d20_d20_d20_20260602_144535,cream_cheese,ultra_three_phase_d20_d20_d20,contact_grasp_onset,65,84,20,9,3,9,0.001276,0.001244,0.001217,0.85895,False
vismp_cream_cheese_state0_seed0_ultra_three_phase_d20_d20_d20_20260602_144535,cream_cheese,ultra_three_phase_d20_d20_d20,early_lift_carry,90,109,20,4,1,8,8.5e-05,8.6e-05,0.000112,0.865255,False
vismp_cream_cheese_state0_seed0_ultra_three_phase_d20_d20_d20_20260602_144535,cream_cheese,ultra_three_phase_d20_d20_d20,preplace_release,120,139,20,10,5,14,0.008007,0.012227,0.024417,0.775532,True
vismp_ketchup_state0_seed0_random_matched_ultra_three_phase_d20_d20_d20_20260602_150030,ketchup,random_matched_ultra_three_phase_d20_d20_d20,contact_grasp_onset,93,112,20,0,0,0,1e-05,1.2e-05,5e-06,0.038945,False
vismp_ketchup_state0_seed0_random_matched_ultra_three_phase_d20_d20_d20_20260602_150030,ketchup,random_matched_ultra_three_phase_d20_d20_d20,early_lift_carry,118,137,20,0,0,0,1.8e-05,2.2e-05,2e-06,0.09609,False
vismp_ketchup_state0_seed0_random_matched_ultra_three_phase_d20_d20_d20_20260602_150030,ketchup,random_matched_ultra_three_phase_d20_d20_d20,preplace_release,148,152,5,5,5,0,0.00218,0.005316,0.010651,0.011765,False
