episode_id,task_name,state_id,split,T_gform,T_pred,trigger_error,window_source,delay,window_start,window_end,actual_window_len,clean_natural_open_ratio,clean_open_count,attack_eligible_strict,structural_valid
obj100_alphabet_soup_alphabet_soup_s0,pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,train,53,,,teacher_oracle,-50,3,20,18,0.0,0,True,True
obj100_alphabet_soup_alphabet_soup_s2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,train,61,,,teacher_oracle,-50,11,28,18,0.0,0,True,True
obj100_alphabet_soup_alphabet_soup_s3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,3,train,71,,,teacher_oracle,-50,21,38,18,0.0,0,True,True
obj100_alphabet_soup_alphabet_soup_s4,pick_up_the_alphabet_soup_and_place_it_in_the_basket,4,val,54,,,teacher_oracle,-50,4,21,18,0.0,0,True,True
obj100_alphabet_soup_alphabet_soup_s6,pick_up_the_alphabet_soup_and_place_it_in_the_basket,6,test,90,,,teacher_oracle,-50,40,57,18,0.0,0,True,True
obj100_alphabet_soup_alphabet_soup_s7,pick_up_the_alphabet_soup_and_place_it_in_the_basket,7,train,110,,,teacher_oracle,-50,60,77,18,0.0,0,True,True
obj100_alphabet_soup_alphabet_soup_s8,pick_up_the_alphabet_soup_and_place_it_in_the_basket,8,val,62,,,teacher_oracle,-50,12,29,18,0.0,0,True,True
obj100_bbq_sauce_bbq_sauce_s0,pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,test,75,,,teacher_oracle,-50,25,42,18,0.0,0,True,True
obj100_bbq_sauce_bbq_sauce_s4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,4,test,64,,,teacher_oracle,-50,14,31,18,0.0,0,True,True
obj100_bbq_sauce_bbq_sauce_s5,pick_up_the_bbq_sauce_and_place_it_in_the_basket,5,train,77,,,teacher_oracle,-50,27,44,18,0.0,0,True,True
obj100_bbq_sauce_bbq_sauce_s9,pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,train,72,,,teacher_oracle,-50,22,39,18,0.0,0,True,True
obj100_butter_butter_s0,pick_up_the_butter_and_place_it_in_the_basket,0,val,79,,,teacher_oracle,-50,29,46,18,0.0,0,True,True
obj100_butter_butter_s2,pick_up_the_butter_and_place_it_in_the_basket,2,test,73,,,teacher_oracle,-50,23,40,18,0.0,0,True,True
obj100_butter_butter_s3,pick_up_the_butter_and_place_it_in_the_basket,3,train,79,,,teacher_oracle,-50,29,46,18,0.0,0,True,True
obj100_butter_butter_s5,pick_up_the_butter_and_place_it_in_the_basket,5,train,75,,,teacher_oracle,-50,25,42,18,0.0,0,True,True
obj100_butter_butter_s6,pick_up_the_butter_and_place_it_in_the_basket,6,test,84,,,teacher_oracle,-50,34,51,18,0.0,0,True,True
obj100_butter_butter_s7,pick_up_the_butter_and_place_it_in_the_basket,7,train,60,,,teacher_oracle,-50,10,27,18,0.0,0,True,True
obj100_butter_butter_s8,pick_up_the_butter_and_place_it_in_the_basket,8,train,86,,,teacher_oracle,-50,36,53,18,0.0,0,True,True
obj100_butter_butter_s9,pick_up_the_butter_and_place_it_in_the_basket,9,train,61,,,teacher_oracle,-50,11,28,18,0.0,0,True,True
obj100_chocolate_pudding_rerun_chocolate_pudding_s2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,2,test,64,,,teacher_oracle,-50,14,31,18,0.0,0,True,True
obj100_chocolate_pudding_rerun_chocolate_pudding_s3,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,3,train,90,,,teacher_oracle,-50,40,57,18,0.0,0,True,True
obj100_chocolate_pudding_rerun_chocolate_pudding_s4,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,4,train,65,,,teacher_oracle,-50,15,32,18,0.0,0,True,True
