job_id,task,state_id,window_start,window_end,open_duration,condition,pair_id,gpu_pair,output_dir,max_steps
900004,milk,0,70,80,30,clean,milk_s0_w70_80_L30_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900005,milk,0,70,80,30,oracle_open,milk_s0_w70_80_L30_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900012,butter,0,90,100,30,clean,butter_s0_w90_100_L30_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900013,butter,0,90,100,30,oracle_open,butter_s0_w90_100_L30_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900018,tomato_sauce,2,165,175,20,clean,tomato_sauce_s2_w165_175_L20_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900019,tomato_sauce,2,165,175,20,oracle_open,tomato_sauce_s2_w165_175_L20_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900020,tomato_sauce,2,165,175,30,clean,tomato_sauce_s2_w165_175_L30_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900021,tomato_sauce,2,165,175,30,oracle_open,tomato_sauce_s2_w165_175_L30_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900026,cream_cheese,0,65,75,20,clean,cream_cheese_s0_w65_75_L20_clean,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
900027,cream_cheese,0,65,75,20,oracle_open,cream_cheese_s0_w65_75_L20_oracle_open,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s8_oracle_open_physical_scan/shard45,400
