task_key,state_id,window_start,window_end,label_vulnerability_ready,label_source,label_status,train_use,taxonomy,mechanism_type,vulnerability_score,vulnerability_pred,detector_variant,detector_model,detector_feature_set,vuln_score_available,predicted_phase,phase_confidence,phase_is_critical,hazard_score_mean,hazard_score_max,release_safe_score_mean,release_safe_score_min,phase_available,phase_source,qpos_delta,vis_open_count,task_failure,qpos_label,action_bridge_status,denominator_status,source_batch,provenance_status,provenance_note,join_status,missing_reason,label_1r,adaptive_status,in_calibration_v2
alphabet_soup,0,3,20,,gold_v2,ignore,ignore,weak_physical_uncertain,,,,,,,,,,,,,,,,,0.027619,18,False,weak,1,True,batch1,random completed; claim=False because qpos<0.03,random completed; claim=False because qpos<0.03,label_only,"mechanism,vuln_detector,phase,clean_control,det_dataset",infra_failed,PRECHECK_INFRA,
alphabet_soup,2,11,28,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,3,21,38,1,gold_v2,ignore,ignore,polluted,mechanism_unclear,,,,,,,,,true,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,4,13,30,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,4,18,35,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,4,3,20,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,4,4,21,1,gold_v2,positive,train,claim_usable,physical_bridge_positive,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.032241,18,False,strong,1,True,batch3,unknown,,vuln_mech_only_no_phase,"phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,6,19,36,1,eligible_1r_silver_positive,,true,,mechanism_unclear,,,,,,,,,true,,,,,,,,,,,,,,,,orphan,"labels_v2,vuln_detector,phase,clean_control",provisional_silver_positive_1r,VIS1R_DONE,
alphabet_soup,6,40,57,0,gold_v2,negative,train,no_action_bridge,negative_unclassified,1,1,V0_gold_only,LR,D_causal_safe,1,,,true,,,,,,,0.0,0,True,none,0,True,batch3b,unknown,,vuln_mech_only_no_phase,"phase,clean_control,adaptive_1r",,,
alphabet_soup,8,29,46,,gold_v2,ignore,ignore,polluted,,,,,,,,,,,,,,,,,0.0,0,True,none,0,False,batch3,unknown,,label_only,"mechanism,vuln_detector,phase,clean_control,adaptive_1r,det_dataset",,,
bbq_sauce,0,15,32,,gold_v2,ignore,ignore,polluted,,,,,,,,,,,,,,,,,0.0,0,True,none,0,False,batch3b,unknown,,label_only,"mechanism,vuln_detector,phase,clean_control,adaptive_1r,det_dataset",,,
