vis_file,has_rand,rand_tier,gate_ok
summary_alphabet_soup_s1_w130_140_s20d_vis_pgd_seed88_job260002.json,True,CONFOUNDED,False
summary_alphabet_soup_s1_w135_145_s20d_vis_pgd_seed88_job260004.json,True,CONFOUNDED,False
summary_alphabet_soup_s1_w140_150_s20d_vis_pgd_seed88_job260006.json,True,CONFOUNDED,False
summary_alphabet_soup_s1_w150_160_s20d_vis_pgd_seed88_job260010.json,True,CONFOUNDED,False
summary_alphabet_soup_s1_w155_165_s20d_vis_pgd_seed88_job260012.json,False,N/A,False
summary_alphabet_soup_s1_w165_175_s20d_vis_pgd_seed88_job260016.json,True,STRICT,True
summary_alphabet_soup_s1_w170_180_s20d_vis_pgd_seed88_job260018.json,False,N/A,False
summary_bbq_sauce_s0_w55_65_s20d_vis_pgd_seed88_job260052.json,True,CONFOUNDED,False
summary_bbq_sauce_s0_w85_95_s20d_vis_pgd_seed88_job260054.json,False,N/A,False
summary_cream_cheese_s1_w100_110_s20d_vis_pgd_seed88_job260028.json,True,STRICT,True
summary_cream_cheese_s1_w10_20_s20d_vis_pgd_seed88_job260060.json,False,N/A,False
summary_cream_cheese_s1_w5_15_s20d_vis_pgd_seed88_job260058.json,True,CONFOUNDED,False
summary_cream_cheese_s1_w60_70_s20d_vis_pgd_seed88_job260040.json,True,STRICT,True
summary_cream_cheese_s1_w65_75_s20d_vis_pgd_seed88_job260042.json,False,N/A,False
summary_cream_cheese_s1_w70_80_s20d_vis_pgd_seed88_job260022.json,True,CONFOUNDED,False
summary_cream_cheese_s1_w75_85_s20d_vis_pgd_seed88_job260024.json,False,N/A,False
summary_orange_juice_s1_w100_110_s20d_vis_pgd_seed88_job260030.json,False,N/A,False
summary_orange_juice_s1_w110_120_s20d_vis_pgd_seed88_job260034.json,True,STRICT,True
summary_orange_juice_s1_w20_30_s20d_vis_pgd_seed88_job260064.json,True,BORDERLINE,False
summary_orange_juice_s1_w25_35_s20d_vis_pgd_seed88_job260066.json,False,N/A,False
summary_orange_juice_s1_w35_45_s20d_vis_pgd_seed88_job260070.json,True,CONFOUNDED,False
summary_orange_juice_s1_w50_60_s20d_vis_pgd_seed88_job260046.json,True,STRICT,True
summary_orange_juice_s1_w55_65_s20d_vis_pgd_seed88_job260048.json,False,N/A,False
summary_salad_dressing_s1_w100_110_s20d_vis_pgd_seed88_job260036.json,False,N/A,False
summary_salad_dressing_s1_w5_15_s20d_vis_pgd_seed88_job260072.json,False,N/A,False
