episode_id,task_key,state_id,window_start,window_end,phase_bin_proxy,candidate_role,clean_open_ratio,T_gform,relative_lead,qpos_start,qpos_min,eef_speed_mean,reason_selected
obj100_alphabet_soup_alphabet_soup_s4,alphabet_soup,4,4,21,approach_far_closed_proxy,approach_far_closed_proxy,0.0,54,-50,0.038958,0.038958,0.177058,batch3_approach_far_closed_proxy
obj100_bbq_sauce_bbq_sauce_s9,bbq_sauce,9,22,39,approach_far_closed_proxy,approach_far_closed_proxy,0.0,72,-50,0.039511,0.039511,0.518122,batch3_approach_far_closed_proxy
obj100_butter_butter_s5,butter,5,25,42,approach_far_closed_proxy,approach_far_closed_proxy,0.0,75,-50,0.039218,0.039218,0.256534,batch3_approach_far_closed_proxy
obj100_ketchup_ketchup_s5,ketchup,5,9,26,approach_far_closed_proxy,approach_far_closed_proxy,0.0,59,-50,0.039183,0.039183,0.211658,batch3_approach_far_closed_proxy
obj100_milk_milk_s5,milk,5,25,42,approach_far_closed_proxy,approach_far_closed_proxy,0.0,75,-50,0.039581,0.039581,0.305673,batch3_approach_far_closed_proxy
obj100_salad_dressing_salad_dressing_s0,salad_dressing,0,7,24,approach_far_closed_proxy,approach_far_closed_proxy,0.0,57,-50,0.039124,0.039124,0.704641,batch3_approach_far_closed_proxy
obj100_alphabet_soup_alphabet_soup_s3,alphabet_soup,3,21,38,approach_near_closed_proxy,approach_near_closed_proxy,0.0,71,-50,0.039474,0.039474,0.204413,batch3_approach_near_closed_proxy
obj100_bbq_sauce_bbq_sauce_s5,bbq_sauce,5,27,44,approach_near_closed_proxy,approach_near_closed_proxy,0.0,77,-50,0.039597,0.039597,0.461394,batch3_approach_near_closed_proxy
obj100_butter_butter_s3,butter,3,29,46,approach_near_closed_proxy,approach_near_closed_proxy,0.0,79,-50,0.0396,0.0396,0.068024,batch3_approach_near_closed_proxy
obj100_cream_cheese_cream_cheese_s4,cream_cheese,4,28,45,approach_near_closed_proxy,approach_near_closed_proxy,0.0,78,-50,0.039611,0.039611,0.201349,batch3_approach_near_closed_proxy
obj100_ketchup_ketchup_s1,ketchup,1,21,38,approach_near_closed_proxy,approach_near_closed_proxy,0.0,71,-50,0.039467,0.039467,0.138752,batch3_approach_near_closed_proxy
obj100_milk_milk_s4,milk,4,19,36,approach_near_closed_proxy,approach_near_closed_proxy,0.0,69,-50,0.039075,0.039075,0.075715,batch3_approach_near_closed_proxy
obj100_alphabet_soup_alphabet_soup_s8,alphabet_soup,8,29,46,pre_lock_closed_proxy,pre_lock_closed_proxy,0.0,62,-33,0.039596,0.039596,0.082254,batch3_pre_lock_closed_proxy
obj100_ketchup_ketchup_s2,ketchup,2,39,56,pre_lock_closed_proxy,pre_lock_closed_proxy,0.0556,75,-36,0.039676,0.039676,0.183428,batch3_pre_lock_closed_proxy
obj100_bbq_sauce_bbq_sauce_s0,bbq_sauce,0,30,47,pre_lock_closed_proxy,pre_lock_closed_proxy,0.0556,75,-45,0.039651,0.039651,0.051172,batch3_pre_lock_closed_proxy
obj100_salad_dressing_salad_dressing_s0,salad_dressing,0,31,48,pre_lock_closed_proxy,pre_lock_closed_proxy,0.0556,57,-26,0.039658,0.039658,0.135592,batch3_pre_lock_closed_proxy
obj100_milk_milk_s1,milk,1,8,25,approach_far_closed_proxy,far_too_early_control,0.0,96,-88,0.039161,0.039161,0.275455,batch3_far_too_early_control
obj100_milk_milk_s9,milk,9,5,22,approach_far_closed_proxy,far_too_early_control,0.0,91,-86,0.039075,0.039075,0.265495,batch3_far_too_early_control
