episode_id,task_key,state_id,T,T_open_onset,T_qpos_motion,T_qpos_min,T_qpos_stable,T_eef_slowdown,T_eef_motion_peak,T_done,phase_event_validity
obj100_alphabet_soup_alphabet_soup_s0,alphabet_soup,0,53,52,49,53,57,7,46,149,full
obj100_alphabet_soup_alphabet_soup_s2,alphabet_soup,2,61,57,60,61,62,3,54,135,full
obj100_alphabet_soup_alphabet_soup_s3,alphabet_soup,3,71,54,57,71,72,2,111,155,full
obj100_alphabet_soup_alphabet_soup_s4,alphabet_soup,4,54,49,52,54,55,13,43,142,full
obj100_alphabet_soup_alphabet_soup_s6,alphabet_soup,6,90,60,65,145,,31,53,146,full
obj100_alphabet_soup_alphabet_soup_s7,alphabet_soup,7,110,91,94,110,111,3,67,169,full
obj100_alphabet_soup_alphabet_soup_s8,alphabet_soup,8,62,48,48,62,63,3,16,142,full
obj100_alphabet_soup_alphabet_soup_s9,alphabet_soup,9,90,60,63,160,,36,58,163,full
obj100_bbq_sauce_bbq_sauce_s0,bbq_sauce,0,75,47,50,75,94,33,19,167,full
obj100_bbq_sauce_bbq_sauce_s4,bbq_sauce,4,64,57,60,64,65,7,20,137,full
obj100_bbq_sauce_bbq_sauce_s5,bbq_sauce,5,77,64,67,77,90,7,29,190,full
obj100_bbq_sauce_bbq_sauce_s9,bbq_sauce,9,72,61,64,72,73,38,27,138,full
obj100_butter_butter_s0,butter,0,79,52,52,79,80,30,17,141,full
obj100_butter_butter_s2,butter,2,73,64,67,73,80,44,56,198,full
obj100_butter_butter_s3,butter,3,79,58,61,144,148,41,53,233,full
obj100_butter_butter_s5,butter,5,75,65,68,75,84,44,60,167,full
obj100_butter_butter_s6,butter,6,84,53,56,84,86,28,16,225,full
obj100_butter_butter_s7,butter,7,60,52,51,60,61,33,19,150,full
obj100_butter_butter_s8,butter,8,86,70,73,86,87,7,63,170,full
obj100_butter_butter_s9,butter,9,61,54,57,61,62,30,52,140,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s2,chocolate_pudding,2,64,58,61,64,65,38,69,155,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s3,chocolate_pudding,3,90,61,64,90,91,1,74,160,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s4,chocolate_pudding,4,65,60,58,65,66,5,49,218,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s5,chocolate_pudding,5,82,55,58,156,,40,69,157,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s6,chocolate_pudding,6,86,57,54,86,87,4,45,163,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s7,chocolate_pudding,7,96,49,52,96,97,54,162,235,full
obj100_chocolate_pudding_rerun_chocolate_pudding_s9,chocolate_pudding,9,78,50,53,78,79,55,49,190,full
obj100_cream_cheese_cream_cheese_s0,cream_cheese,0,128,85,88,128,129,45,24,153,full
obj100_cream_cheese_cream_cheese_s1,cream_cheese,1,105,60,63,105,106,63,24,153,full
obj100_cream_cheese_cream_cheese_s2,cream_cheese,2,102,63,69,102,103,61,25,135,full
obj100_cream_cheese_cream_cheese_s3,cream_cheese,3,108,74,77,108,109,57,37,145,full
obj100_cream_cheese_cream_cheese_s4,cream_cheese,4,78,52,55,78,91,38,22,177,full
obj100_cream_cheese_cream_cheese_s5,cream_cheese,5,121,77,79,152,,55,33,153,full
obj100_cream_cheese_cream_cheese_s6,cream_cheese,6,104,56,59,126,127,39,21,134,full
obj100_cream_cheese_cream_cheese_s7,cream_cheese,7,94,60,63,94,95,38,16,133,full
obj100_cream_cheese_cream_cheese_s8,cream_cheese,8,104,55,58,113,114,40,20,130,full
obj100_cream_cheese_cream_cheese_s9,cream_cheese,9,104,55,58,117,,39,24,121,full
obj100_ketchup_ketchup_s0,ketchup,0,66,58,61,66,67,2,85,159,full
obj100_ketchup_ketchup_s1,ketchup,1,71,45,48,71,73,32,118,180,full
obj100_ketchup_ketchup_s2,ketchup,2,75,56,59,75,76,32,79,140,full
obj100_ketchup_ketchup_s3,ketchup,3,108,59,62,147,150,1,83,155,full
obj100_ketchup_ketchup_s4,ketchup,4,83,45,48,132,,23,81,133,full
obj100_ketchup_ketchup_s5,ketchup,5,59,47,50,59,60,30,40,124,full
obj100_ketchup_ketchup_s6,ketchup,6,179,132,135,223,228,10,161,269,full
obj100_ketchup_ketchup_s7,ketchup,7,112,63,66,146,,14,23,152,full
obj100_ketchup_ketchup_s9,ketchup,9,91,71,73,91,92,4,61,159,full
obj100_milk_milk_s0,milk,0,87,52,55,139,,2,49,140,full
obj100_milk_milk_s1,milk,1,96,47,50,122,,32,70,123,full
obj100_milk_milk_s4,milk,4,69,48,51,69,70,6,67,125,full
obj100_milk_milk_s5,milk,5,75,68,70,75,76,11,65,241,full
obj100_milk_milk_s7,milk,7,98,49,52,127,,3,64,128,full
obj100_milk_milk_s8,milk,8,58,53,56,58,59,6,47,152,full
obj100_milk_milk_s9,milk,9,91,49,52,124,125,3,44,156,full
obj100_orange_juice_orange_juice_s0,orange_juice,0,100,70,73,100,102,45,13,213,full
obj100_orange_juice_orange_juice_s1,orange_juice,1,60,41,44,128,,29,13,136,full
obj100_orange_juice_orange_juice_s2,orange_juice,2,83,56,59,83,84,4,18,133,full
obj100_orange_juice_orange_juice_s3,orange_juice,3,102,53,56,126,127,34,18,132,full
obj100_orange_juice_orange_juice_s4,orange_juice,4,103,54,57,130,135,38,23,143,full
obj100_orange_juice_orange_juice_s6,orange_juice,6,81,64,67,130,,3,28,134,full
obj100_orange_juice_orange_juice_s7,orange_juice,7,87,62,65,188,,67,27,190,full
obj100_orange_juice_orange_juice_s8,orange_juice,8,49,42,45,107,,2,20,108,full
obj100_salad_dressing_salad_dressing_s0,salad_dressing,0,57,48,51,57,58,36,22,121,full
obj100_salad_dressing_salad_dressing_s1,salad_dressing,1,76,57,60,123,,1,24,124,full
obj100_salad_dressing_salad_dressing_s2,salad_dressing,2,59,40,43,110,,1,13,111,full
obj100_salad_dressing_salad_dressing_s3,salad_dressing,3,107,58,61,126,,4,25,127,full
obj100_salad_dressing_salad_dressing_s4,salad_dressing,4,72,53,56,72,73,53,17,118,full
obj100_salad_dressing_salad_dressing_s5,salad_dressing,5,78,70,73,78,86,7,36,159,full
obj100_salad_dressing_salad_dressing_s6,salad_dressing,6,124,75,78,143,,5,46,144,full
obj100_salad_dressing_salad_dressing_s7,salad_dressing,7,114,65,67,137,,2,30,138,full
obj100_salad_dressing_salad_dressing_s8,salad_dressing,8,97,48,51,103,,32,19,104,full
obj100_tomato_sauce_tomato_sauce_s0,tomato_sauce,0,99,80,86,99,114,3,42,209,full
obj100_tomato_sauce_tomato_sauce_s1,tomato_sauce,1,73,53,56,73,86,53,15,185,full
obj100_tomato_sauce_tomato_sauce_s2,tomato_sauce,2,146,97,100,165,,27,58,168,full
obj100_tomato_sauce_tomato_sauce_s3,tomato_sauce,3,67,63,66,67,68,43,24,141,full
obj100_tomato_sauce_tomato_sauce_s4,tomato_sauce,4,90,81,84,90,91,16,37,162,full
obj100_tomato_sauce_tomato_sauce_s5,tomato_sauce,5,113,64,67,143,144,66,21,166,full
obj100_tomato_sauce_tomato_sauce_s6,tomato_sauce,6,115,66,69,125,126,4,19,149,full
obj100_tomato_sauce_tomato_sauce_s8,tomato_sauce,8,101,52,55,118,119,30,12,132,full
obj100_tomato_sauce_tomato_sauce_s9,tomato_sauce,9,113,64,67,121,125,4,24,140,full
