old_requested_task,old_cfg_index,actual_libro_idx,actual_task_key,actual_language,status
ketchup,0,0,alphabet_soup,pick up the alphabet soup and place it in the basket,never_used
butter,1,1,cream_cheese,pick up the cream cheese and place it in the basket,used_as_butter
cream_cheese,2,2,salad_dressing,pick up the salad dressing and place it in the basket,used_as_cream_cheese
salad_dressing,3,3,bbq_sauce,pick up the bbq sauce and place it in the basket,used_as_salad_dressing
bbq_sauce,4,4,ketchup,pick up the ketchup and place it in the basket,used_as_bbq_sauce
milk,5,5,tomato_sauce,pick up the tomato sauce and place it in the basket,used_as_milk_PRIMARY
alphabet_soup,6,6,butter,pick up the butter and place it in the basket,used_as_alphabet_soup
tomato_sauce,7,7,milk,pick up the milk and place it in the basket,used_as_tomato_sauce
orange_juice,8,8,chocolate_pudding,pick up the chocolate pudding and place it in the basket,used_as_orange_juice
none,missing,9,orange_juice,pick up the orange juice and place it in the basket,never_run
none,missing,missing,chocolate_pudding,pick up the chocolate pudding and place it in the basket,run_as_orange_juice
