threshold_percentile,n_pass,pass_rate,cmd_rand_hit,cmd_hit,abstain_any_hit,pV_cmd,pR_cmd,yield_cmd,false_reject_good_cmd,false_pass_rand,top_task_dominance
0.1,4,0.125,0.25,0.5,0.5,0.5,0.3,0.2,13,1,0.5
0.2,7,0.219,0.1429,0.5714,0.4286,0.5714,0.1714,0.4,11,1,0.429
0.25,9,0.281,0.1111,0.6667,0.5556,0.6667,0.1333,0.5333,9,1,0.556
0.3,10,0.312,0.1,0.7,0.5,0.7,0.12,0.58,8,1,0.5
0.35,11,0.344,0.0909,0.7273,0.5455,0.7273,0.1091,0.6182,7,1,0.455
0.4,13,0.406,0.1538,0.6923,0.5385,0.6923,0.0923,0.6,6,2,0.385
0.5,16,0.5,0.125,0.625,0.5625,0.625,0.075,0.55,5,2,0.312
0.6,19,0.594,0.1579,0.5789,0.5789,0.6211,0.0947,0.5263,4,3,0.263
0.7,22,0.688,0.2273,0.5455,0.6364,0.6364,0.1,0.5364,3,5,0.273
0.8,25,0.781,0.28,0.52,0.68,0.608,0.112,0.496,2,7,0.24
0.9,28,0.875,0.3571,0.4643,0.7143,0.6143,0.1857,0.4286,2,10,0.214
