feature,obj_mean,spat_mean,z_shift,obj_std,spat_std,clip_rate
total_score,3.4289473684210336,2.7607462686567166,-2.6529630007198404,0.25186973945095015,0.3493226427741748,0.591044776119403
raw_crossing_bonus,1.4950657894736843,1.5,0.057448498962143005,0.08588928545491185,0.0,0.0
close_streak_bonus,1.0,1.0,0.0,0.0,0.0,0.0
close_onset_qpos_bonus,0.4901315789473684,0.06492537313432836,-6.1139152792235665,0.06954728457850644,0.16806957633829037,0.8701492537313433
eef_deceleration_bonus,0.14473684210526316,0.15597014925373134,0.04953851701823836,0.22675905183702746,0.2316428008133092,0.0
qpos_ready_bonus,0.2990131578947352,0.03985074626865672,-15.087004755776023,0.017177857091007994,0.10181916274664686,0.8671641791044776
eef_speed_now,0.011048627062706276,0.010821780597014925,-0.02535901655687188,0.008945396805219538,0.01022172979554128,0.013432835820895522
eef_speed_prev,0.012245508250825078,0.011267367164179103,-0.09809352608185556,0.009971515203049702,0.010683474211294725,0.0029850746268656717
eef_deceleration_delta,-0.0011968811881188123,-0.00044558656716417905,0.22248557437106356,0.003376823971974097,0.003217964501367031,0.011940298507462687
close_streak,1.0,1.0,0.0,0.0,0.0,0.0
raw_crossing,0.9967105263157895,1.0,0.05744849896214236,0.05725952363660919,0.0,0.0
close_onset,1.0,1.0,0.0,0.0,0.0,0.0
qpos,-0.0001812320099959738,0.1678571387779869,70.72298674023965,0.002376007837524955,0.14368634977979394,0.9970149253731343
time_since_prev_close,19.832635983263597,13.737302977232925,-0.22022653381814586,27.677559558122773,24.876035755274533,0.014010507880910683
time_since_last_open,1.0,1.0,0.0,0.0,0.0,0.0
candidate_index,4.1644736842105265,11.795522388059702,1.529657740220258,4.988729506739441,11.464089719001667,0.2373134328358209
