task_name,scene_id,state_id,seed,run_id,num_steps,label_validity,T_close_onset,T_grasp_formation,T_qpos_min,T_qpos_stable,T_release,qpos_missing_count,gripper_missing_count,notes
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s0,0,0,obj100_alphabet_soup_alphabet_soup_s0,149,heuristic,52,53,53,56,54,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s1,1,0,obj100_alphabet_soup_alphabet_soup_s1,280,heuristic,62,79,79,85,79,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s2,2,0,obj100_alphabet_soup_alphabet_soup_s2,135,heuristic,57,61,61,62,,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s3,3,0,obj100_alphabet_soup_alphabet_soup_s3,155,heuristic,54,71,71,72,128,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s4,4,0,obj100_alphabet_soup_alphabet_soup_s4,142,heuristic,49,54,54,55,135,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s5,5,0,obj100_alphabet_soup_alphabet_soup_s5,280,heuristic,55,75,75,76,75,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s6,6,0,obj100_alphabet_soup_alphabet_soup_s6,146,heuristic,60,90,90,91,140,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s7,7,0,obj100_alphabet_soup_alphabet_soup_s7,169,heuristic,91,110,110,111,,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s8,8,0,obj100_alphabet_soup_alphabet_soup_s8,142,heuristic,48,62,62,63,131,0,0,
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s9,9,0,obj100_alphabet_soup_alphabet_soup_s9,163,heuristic,60,90,90,91,146,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s0,0,0,obj100_cream_cheese_cream_cheese_s0,153,heuristic,85,128,128,129,145,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s1,1,0,obj100_cream_cheese_cream_cheese_s1,153,heuristic,60,105,105,106,126,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s2,2,0,obj100_cream_cheese_cream_cheese_s2,135,heuristic,63,102,102,103,125,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s3,3,0,obj100_cream_cheese_cream_cheese_s3,145,heuristic,74,108,108,109,135,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s4,4,0,obj100_cream_cheese_cream_cheese_s4,177,heuristic,52,78,78,90,64,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s5,5,0,obj100_cream_cheese_cream_cheese_s5,153,heuristic,77,121,121,122,134,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s6,6,0,obj100_cream_cheese_cream_cheese_s6,134,heuristic,56,104,104,105,110,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s7,7,0,obj100_cream_cheese_cream_cheese_s7,133,heuristic,60,94,94,95,113,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s8,8,0,obj100_cream_cheese_cream_cheese_s8,130,heuristic,55,104,104,105,113,0,0,
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s9,9,0,obj100_cream_cheese_cream_cheese_s9,121,heuristic,55,104,104,105,113,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s0,0,0,obj100_salad_dressing_salad_dressing_s0,121,heuristic,48,57,57,58,50,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s1,1,0,obj100_salad_dressing_salad_dressing_s1,124,heuristic,57,76,76,77,,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s2,2,0,obj100_salad_dressing_salad_dressing_s2,111,heuristic,40,59,59,60,105,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s3,3,0,obj100_salad_dressing_salad_dressing_s3,127,heuristic,58,107,107,108,,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s4,4,0,obj100_salad_dressing_salad_dressing_s4,118,heuristic,53,72,72,73,113,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s5,5,0,obj100_salad_dressing_salad_dressing_s5,159,heuristic,70,78,78,84,154,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s6,6,0,obj100_salad_dressing_salad_dressing_s6,144,heuristic,75,124,124,125,77,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s7,7,0,obj100_salad_dressing_salad_dressing_s7,138,heuristic,65,114,114,115,67,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s8,8,0,obj100_salad_dressing_salad_dressing_s8,104,heuristic,48,97,97,98,,0,0,
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s9,9,0,obj100_salad_dressing_salad_dressing_s9,280,heuristic,52,85,85,97,68,0,0,
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s0,0,0,obj100_bbq_sauce_bbq_sauce_s0,167,heuristic,47,75,75,93,56,0,0,
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s1,1,0,obj100_bbq_sauce_bbq_sauce_s1,280,heuristic,51,64,64,75,53,0,0,
