step,live_total_score,csv_total_score,live_eef_speed_now,csv_eef_speed_now,live_score,frozen_d5_score,live_abstain,csv_abstain
49,3.3,3.3,0.024386,0.024386,0.25865,0.25865,,0
166,2.8,2.8,0.004748,0.004748,-0.013792,-0.013782,,0
170,3.3,3.3,0.000806,0.000807,0.013235,0.013228,,0
172,2.8,2.8,0.00071,0.000711,-0.002665,-0.002678,,0
176,3.3,3.3,0.008019,0.008019,0.054925,0.054925,,0
182,3.3,3.3,0.000878,0.000878,-0.000264,-0.000264,,0
186,3.3,3.3,0.002917,0.002917,-0.010066,-0.010055,,0
190,3.8,3.8,0.001741,0.001741,-0.041309,-0.041305,,0
195,3.8,3.8,0.000883,0.000882,-0.046123,-0.046121,,0
201,3.3,3.3,6.7e-05,6.8e-05,-0.058341,-0.058346,,0
244,3.3,3.3,0.000731,0.000731,-0.030478,-0.030478,,0
255,3.3,3.8,6.8e-05,6.8e-05,-0.059991,-0.027501,,0
259,3.3,3.3,6.8e-05,6.8e-05,-0.068754,-0.068746,,0
