window_id,task,state_id,original_window_start,original_window_end,window_start,window_end,length_mode,attack_seed,condition,eps,attack_budget,logical_pair_key,oracle_ref_L10_pos_area,physical_pair_key,gpu_pair,output_dir
milk_s0_w70_80,milk,0,70,80,70,80,short,9,VIS,6.0,linf,milk_s0_w70_80_short__atk9,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w70_80,milk,0,70,80,70,80,short,9,RAND,6.0,linf,milk_s0_w70_80_short__atk9,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w70_80,milk,0,70,80,70,80,short,10,VIS,6.0,linf,milk_s0_w70_80_short__atk10,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w70_80,milk,0,70,80,70,80,short,10,RAND,6.0,linf,milk_s0_w70_80_short__atk10,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w60_90,milk,0,70,80,60,90,extended20,9,VIS,6.0,linf,milk_s0_w60_90_extended20__atk9,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w60_90,milk,0,70,80,60,90,extended20,9,RAND,6.0,linf,milk_s0_w60_90_extended20__atk9,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w60_90,milk,0,70,80,60,90,extended20,10,VIS,6.0,linf,milk_s0_w60_90_extended20__atk10,0.26145175,milk_s0_w70_80_L10,,
milk_s0_w60_90,milk,0,70,80,60,90,extended20,10,RAND,6.0,linf,milk_s0_w60_90_extended20__atk10,0.26145175,milk_s0_w70_80_L10,,
butter_s0_w90_100,butter,0,90,100,90,100,short,9,VIS,6.0,linf,butter_s0_w90_100_short__atk9,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w90_100,butter,0,90,100,90,100,short,9,RAND,6.0,linf,butter_s0_w90_100_short__atk9,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w90_100,butter,0,90,100,90,100,short,10,VIS,6.0,linf,butter_s0_w90_100_short__atk10,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w90_100,butter,0,90,100,90,100,short,10,RAND,6.0,linf,butter_s0_w90_100_short__atk10,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w80_110,butter,0,90,100,80,110,extended20,9,VIS,6.0,linf,butter_s0_w80_110_extended20__atk9,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w80_110,butter,0,90,100,80,110,extended20,9,RAND,6.0,linf,butter_s0_w80_110_extended20__atk9,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w80_110,butter,0,90,100,80,110,extended20,10,VIS,6.0,linf,butter_s0_w80_110_extended20__atk10,0.66726775,butter_s0_w90_100_L10,,
butter_s0_w80_110,butter,0,90,100,80,110,extended20,10,RAND,6.0,linf,butter_s0_w80_110_extended20__atk10,0.66726775,butter_s0_w90_100_L10,,
cream_cheese_s0_w65_75,cream_cheese,0,65,75,65,75,short,9,VIS,6.0,linf,cream_cheese_s0_w65_75_short__atk9,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w65_75,cream_cheese,0,65,75,65,75,short,9,RAND,6.0,linf,cream_cheese_s0_w65_75_short__atk9,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w65_75,cream_cheese,0,65,75,65,75,short,10,VIS,6.0,linf,cream_cheese_s0_w65_75_short__atk10,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w65_75,cream_cheese,0,65,75,65,75,short,10,RAND,6.0,linf,cream_cheese_s0_w65_75_short__atk10,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w55_85,cream_cheese,0,65,75,55,85,extended20,9,VIS,6.0,linf,cream_cheese_s0_w55_85_extended20__atk9,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w55_85,cream_cheese,0,65,75,55,85,extended20,9,RAND,6.0,linf,cream_cheese_s0_w55_85_extended20__atk9,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w55_85,cream_cheese,0,65,75,55,85,extended20,10,VIS,6.0,linf,cream_cheese_s0_w55_85_extended20__atk10,0.21244233,cream_cheese_s0_w65_75_L10,,
cream_cheese_s0_w55_85,cream_cheese,0,65,75,55,85,extended20,10,RAND,6.0,linf,cream_cheese_s0_w55_85_extended20__atk10,0.21244233,cream_cheese_s0_w65_75_L10,,
