corrected_task,state_id,window_start,window_end,seed,vis_open,vis_streak,vis_oracle_norm,rand_open,rand_streak,rand_oracle_norm,vis_pos_area,rand_pos_area,classification
bbq_sauce,0,55,65,50,0,0,0,1,1,0,0.000199,0.005364,NO_ORACLE_REF
bbq_sauce,1,50,60,50,5,2,0,2,1,0,0.012466,0.0,NO_ORACLE_REF
cream_cheese,0,80,90,50,1,1,0.0132,1,1,0.0259,0.004537,0.008887,COMMAND_WEAK
cream_cheese,0,90,100,13,2,2,0.014,1,1,0.1577,0.0048,0.054196,COMMAND_WEAK
cream_cheese,0,90,100,14,2,2,0.0247,3,1,0.2605,0.008502,0.089508,RAND_CONFOUNDED_ABSTAIN
milk,0,50,60,50,3,2,0,1,1,0,0.002009,0.000572,NO_ORACLE_REF
milk,2,95,105,50,10,10,1.018,2,1,0.0185,0.659049,0.011972,MIXED
milk,2,155,165,15,6,5,0.1889,2,2,0.2664,0.117421,0.165635,PHYSICAL_BORDERLINE
milk,2,155,165,16,6,2,0.0865,7,6,0.9496,0.053774,0.590353,RAND_CONFOUNDED_ABSTAIN
milk,2,155,165,17,7,3,0.2529,5,3,0.1162,0.157213,0.072235,RAND_CONFOUNDED_ABSTAIN
milk,2,155,165,50,4,3,0.0844,8,5,0.9166,0.052453,0.569843,RAND_CONFOUNDED_ABSTAIN
salad_dressing,0,85,95,27,3,1,0,3,2,0,0.042138,0.106988,NO_ORACLE_REF
salad_dressing,0,85,95,50,4,1,0,3,2,0,0.006176,0.072339,NO_ORACLE_REF
salad_dressing,2,50,60,21,2,1,0.0072,0,0,0.0062,0.00204,0.001763,COMMAND_WEAK
salad_dressing,2,50,60,22,3,2,0.0438,0,0,0.0,0.012423,0.0,COMMAND_WEAK
salad_dressing,2,50,60,23,2,2,0.0018,0,0,0.0834,0.000497,0.023674,COMMAND_WEAK
salad_dressing,2,50,60,50,2,1,0.0076,0,0,0.0,0.002147,0.0,COMMAND_WEAK
tomato_sauce,0,70,80,9,7,4,0.4232,0,0,0.0,0.124803,0.0,PHYSICAL_BRIDGE_PASS
tomato_sauce,0,70,80,10,6,5,0.2654,0,0,0.0546,0.078278,0.016111,PHYSICAL_BRIDGE_PASS
tomato_sauce,0,70,80,11,6,4,0.378,1,1,0.0,0.11147,0.0,PHYSICAL_BRIDGE_PASS
tomato_sauce,0,70,80,12,6,4,0.1293,0,0,0.0297,0.038141,0.008763,PHYSICAL_BORDERLINE
tomato_sauce,0,70,80,24,6,4,1.2967,0,0,0.0,0.382383,0.0,PHYSICAL_BRIDGE_PASS
tomato_sauce,0,70,80,50,8,4,0.6205,0,0,0.0,0.182988,0.0,PHYSICAL_BRIDGE_PASS
tomato_sauce,0,230,240,27,5,3,0,0,0,0,0.053581,0.023249,NO_ORACLE_REF
tomato_sauce,0,230,240,50,4,2,0,2,1,0,0.016945,0.001219,NO_ORACLE_REF
tomato_sauce,0,235,245,27,5,3,0,2,1,0,0.042393,0.015264,NO_ORACLE_REF
tomato_sauce,0,235,245,50,5,3,0,2,1,0,0.012534,0.003853,NO_ORACLE_REF
tomato_sauce,0,240,250,50,7,4,0.2793,2,1,0.0127,0.076943,0.003498,MIXED
tomato_sauce,0,240,250,51,4,4,0.0705,0,0,0.0484,0.019413,0.013331,PHYSICAL_TRANSFER_WEAK
tomato_sauce,0,240,250,52,7,5,0.3911,0,0,0.0021,0.107754,0.000581,PHYSICAL_BRIDGE_PASS
