parent,source,task,window,cmd_label,phys_label,pV_cmd,pR_cmd,pV_phys,pR_phys,yield_cmd,risk_rand
k5_clean_negative_expansion_alphabet_soup_s1_w65_75_env1,K5,negative,65_75_env1,stable_negative,stable_no_phys,0.0,0.0,0.2,0.0,0.0,0.0
k5_cmd_anchor_milk_s0_w70_80_env0,K5,anchor,70_80_env0,stable_cmd_specific,stable_rand_phys,1.0,0.0,1.0,1.0,1.0,1.0
k5_confounded_swing_milk_s0_w230_240_env0,K5,swing,230_240_env0,stable_cmd_specific,stable_rand_phys,1.0,0.0,1.0,1.0,1.0,1.0
k5_hn_surprise_bbq_sauce_s2_w100_110_env2,K5,surprise,100_110_env2,stable_negative,stable_no_phys,0.0,0.0,0.0,0.0,0.0,0.0
k5_neg_drift_salad_dressing_s2_w120_130_env2,K5,drift,120_130_env2,stable_negative,stable_no_phys,0.0,0.0,0.0,0.0,0.0,0.0
k5_rand_cmd_drift_tomato_sauce_s2_w150_160_env2,K5,cmd,150_160_env2,stable_cmd_specific,stable_rand_phys,1.0,0.0,1.0,0.6,1.0,0.6
k5_rand_phys_flip_tomato_sauce_s2_w90_100_env2,K5,phys,90_100_env2,stable_cmd_specific,stable_vis_phys,1.0,0.0,1.0,0.0,1.0,0.0
k5_strict_phys_master_tomato_sauce_s2_w115_125_env2,K5,phys,115_125_env2,stable_rand_sensitive,stable_rand_phys,0.8,0.8,0.4,0.6,0.0,0.8
k5b_contrast_milk_early_milk_s0_w75_85_env0,K5b,milk,75_85_env0,stable_rand_sensitive,stable_rand_phys,1.0,0.4,1.0,0.8,0.6,0.8
k5b_contrast_milk_late_milk_s0_w240_250_env0,K5b,milk,240_250_env0,stable_cmd_specific,stable_rand_phys,1.0,0.0,1.0,0.8,1.0,0.8
k5b_contrast_milk_mid_milk_s0_w80_90_env0,K5b,milk,80_90_env0,stable_rand_sensitive,stable_rand_phys,0.8,1.0,1.0,1.0,-0.2,1.0
k5b_contrast_tomato_early_tomato_sauce_s2_w95_105_env2,K5b,tomato,95_105_env2,stable_cmd_specific,stable_rand_phys,0.8,0.0,1.0,0.8,0.8,0.8
k5b_contrast_tomato_far_tomato_sauce_s0_w55_65_env0,K5b,tomato,55_65_env0,stable_cmd_specific,stable_vis_phys,1.0,0.0,1.0,0.0,1.0,0.0
k5b_contrast_tomato_late_tomato_sauce_s2_w155_165_env2,K5b,tomato,155_165_env2,stable_cmd_specific,stable_vis_phys,1.0,0.0,1.0,0.2,1.0,0.2
k5b_neg_alpha_alphabet_soup_s1_w50_60_env1,K5b,alpha,50_60_env1,unstable_or_unknown,stable_rand_phys,0.4,0.0,0.6,0.4,0.4,0.4
k5b_neg_bbq_bbq_sauce_s0_w60_70_env0,K5b,bbq,60_70_env0,stable_negative,stable_rand_phys,0.0,0.0,0.8,0.8,0.0,0.8
k5b_neg_cream_cream_cheese_s0_w85_95_env0,K5b,cream,85_95_env0,stable_cmd_specific,stable_rand_phys,0.8,0.0,0.8,0.4,0.8,0.4
k5b_rand_alpha_alphabet_soup_s0_w60_70_env0,K5b,alpha,60_70_env0,stable_rand_sensitive,stable_rand_phys,0.2,0.4,0.8,1.0,-0.2,1.0
k5b_rand_salad2_salad_dressing_s1_w50_60_env1,K5b,salad2,50_60_env1,stable_cmd_specific,stable_rand_phys,0.6,0.0,1.0,1.0,0.6,1.0
k5b_rand_salad_salad_dressing_s2_w80_90_env2,K5b,salad,80_90_env2,unstable_or_unknown,stable_rand_phys,0.4,0.0,1.0,0.8,0.4,0.8
k5b_strict_phys_cream2_cream_cheese_s1_w145_155_env1,K5b,phys,145_155_env1,stable_negative,stable_vis_phys,0.0,0.0,1.0,0.2,0.0,0.2
k5b_strict_phys_cream_cream_cheese_s2_w50_60_env2,K5b,phys,50_60_env2,stable_cmd_specific,stable_rand_phys,1.0,0.0,1.0,1.0,1.0,1.0
k5b_strict_phys_salad_salad_dressing_s2_w70_80_env2,K5b,phys,70_80_env2,stable_rand_sensitive,stable_vis_phys,0.0,1.0,1.0,0.0,-1.0,1.0
k5b_strict_phys_tomato_tomato_sauce_s2_w165_175_env2,K5b,phys,165_175_env2,stable_rand_sensitive,stable_rand_phys,1.0,0.6,1.0,1.0,0.4,1.0
k5c_cmd_alpha,K5c,alphabet_soup,65_75,stable_rand_sensitive,shared_phys,0.2,1.0,1.0,1.0,-0.8,1.0
k5c_cmd_butter,K5c,butter,80_90,stable_cmd_specific,stable_vis_phys,1.0,0.0,1.0,0.0,1.0,0.0
k5c_cmd_cream,K5c,cream_cheese,85_95,stable_rand_sensitive,shared_phys,0.4,0.0,1.0,1.0,0.4,1.0
k5c_cmd_milk_neg,K5c,milk,235_245,stable_cmd_specific_borderline,stable_vis_phys,1.0,0.2,1.0,0.0,0.8,0.2
k5c_cmd_salad_neg,K5c,salad_dressing,55_65,stable_cmd_specific,stable_no_phys,0.8,0.0,0.0,0.0,0.8,0.0
k5c_cmd_tomato_early,K5c,tomato_sauce,50_60,stable_cmd_specific,stable_no_phys,1.0,0.0,0.2,0.0,1.0,0.0
k5c_phys_bbq,K5c,bbq_sauce,70_80,stable_rand_sensitive,stable_rand_phys,0.0,0.0,0.0,0.4,0.0,0.4
k5c_phys_butter,K5c,butter,135_145,stable_rand_sensitive,shared_phys,0.4,0.2,0.4,0.6,0.2,0.6
k5c_phys_salad,K5c,salad_dressing,75_85,stable_rand_sensitive,shared_phys,0.6,0.2,1.0,0.6,0.4,0.6
k5c_phys_tomato,K5c,tomato_sauce,85_95,stable_rand_sensitive,shared_phys,0.6,0.4,0.6,0.6,0.2,0.6
k5c_rand_alpha,K5c,alphabet_soup,55_65,unstable_or_unknown,unstable_phys,0.2,0.0,0.6,0.2,0.2,0.2
k5c_rand_butter1,K5c,butter,90_100,stable_rand_sensitive,shared_phys,1.0,0.6,1.0,0.8,0.4,0.8
k5c_rand_butter2,K5c,butter,95_105,stable_rand_sensitive,shared_phys,0.8,1.0,1.0,1.0,-0.2,1.0
k5c_rand_cream,K5c,cream_cheese,65_75,stable_rand_sensitive,shared_phys,0.2,0.2,0.8,0.4,0.0,0.4
