job_id,task,state_id,window_start,window_end,condition,attack_seed,random_control_seed,seed,candidate_id,tier,track,status
240001,ketchup,1,135,145,random_linf,86,86,0,ketchup_s1_w135_145,J_eligible_strict,S20J_randhead,pending
240002,ketchup,1,135,145,vis_pgd,86,,0,ketchup_s1_w135_145,J_eligible_strict,S20J_randhead,pending
240003,milk,1,85,95,random_linf,86,86,0,milk_s1_w85_95,J_eligible_strict,S20J_randhead,pending
240004,milk,1,85,95,vis_pgd,86,,0,milk_s1_w85_95,J_eligible_strict,S20J_randhead,pending
240005,ketchup,1,95,105,random_linf,86,86,0,ketchup_s1_w95_105,J_eligible_strict,S20J_randhead,pending
240006,ketchup,1,95,105,vis_pgd,86,,0,ketchup_s1_w95_105,J_eligible_strict,S20J_randhead,pending
240007,milk,1,125,135,random_linf,86,86,0,milk_s1_w125_135,J_eligible_strict,S20J_randhead,pending
240008,milk,1,125,135,vis_pgd,86,,0,milk_s1_w125_135,J_eligible_strict,S20J_randhead,pending
240009,milk,1,60,70,random_linf,86,86,0,milk_s1_w60_70,J_eligible_strict,S20J_randhead,pending
240010,milk,1,60,70,vis_pgd,86,,0,milk_s1_w60_70,J_eligible_strict,S20J_randhead,pending
240011,milk,1,50,60,random_linf,86,86,0,milk_s1_w50_60,J_eligible_strict,S20J_randhead,pending
240012,milk,1,50,60,vis_pgd,86,,0,milk_s1_w50_60,J_eligible_strict,S20J_randhead,pending
240013,milk,1,70,80,random_linf,86,86,0,milk_s1_w70_80,J_eligible_strict,S20J_randhead,pending
240014,milk,1,70,80,vis_pgd,86,,0,milk_s1_w70_80,J_eligible_strict,S20J_randhead,pending
240015,ketchup,1,100,110,random_linf,86,86,0,ketchup_s1_w100_110,J_eligible_strict,S20J_randhead,pending
240016,ketchup,1,100,110,vis_pgd,86,,0,ketchup_s1_w100_110,J_eligible_strict,S20J_randhead,pending
240017,milk,1,120,130,random_linf,86,86,0,milk_s1_w120_130,J_eligible_strict,S20J_randhead,pending
240018,milk,1,120,130,vis_pgd,86,,0,milk_s1_w120_130,J_eligible_strict,S20J_randhead,pending
240019,ketchup,1,120,130,random_linf,86,86,0,ketchup_s1_w120_130,J_eligible_strict,S20J_randhead,pending
240020,ketchup,1,120,130,vis_pgd,86,,0,ketchup_s1_w120_130,J_eligible_strict,S20J_randhead,pending
240021,ketchup,1,105,115,random_linf,86,86,0,ketchup_s1_w105_115,J_eligible_strict,S20J_randhead,pending
240022,ketchup,1,105,115,vis_pgd,86,,0,ketchup_s1_w105_115,J_eligible_strict,S20J_randhead,pending
240023,milk,1,65,75,random_linf,86,86,0,milk_s1_w65_75,J_eligible_strict,S20J_randhead,pending
240024,milk,1,65,75,vis_pgd,86,,0,milk_s1_w65_75,J_eligible_strict,S20J_randhead,pending
240025,milk,1,80,90,random_linf,86,86,0,milk_s1_w80_90,J_eligible_strict,S20J_randhead,pending
240026,milk,1,80,90,vis_pgd,86,,0,milk_s1_w80_90,J_eligible_strict,S20J_randhead,pending
240027,ketchup,1,110,120,random_linf,86,86,0,ketchup_s1_w110_120,J_eligible_strict,S20J_randhead,pending
240028,ketchup,1,110,120,vis_pgd,86,,0,ketchup_s1_w110_120,J_eligible_strict,S20J_randhead,pending
240029,ketchup,1,115,125,random_linf,86,86,0,ketchup_s1_w115_125,J_eligible_strict,S20J_randhead,pending
240030,ketchup,1,115,125,vis_pgd,86,,0,ketchup_s1_w115_125,J_eligible_strict,S20J_randhead,pending
240031,milk,1,110,120,random_linf,86,86,0,milk_s1_w110_120,J_eligible_strict,S20J_randhead,pending
240032,milk,1,110,120,vis_pgd,86,,0,milk_s1_w110_120,J_eligible_strict,S20J_randhead,pending
240033,milk,1,90,100,random_linf,86,86,0,milk_s1_w90_100,J_eligible_strict,S20J_randhead,pending
240034,milk,1,90,100,vis_pgd,86,,0,milk_s1_w90_100,J_eligible_strict,S20J_randhead,pending
240035,milk,1,115,125,random_linf,86,86,0,milk_s1_w115_125,J_eligible_strict,S20J_randhead,pending
240036,milk,1,115,125,vis_pgd,86,,0,milk_s1_w115_125,J_eligible_strict,S20J_randhead,pending
240037,ketchup,1,45,55,random_linf,86,86,0,ketchup_s1_w45_55,J_eligible_usable,S20J_randhead,pending
240038,ketchup,1,45,55,vis_pgd,86,,0,ketchup_s1_w45_55,J_eligible_usable,S20J_randhead,pending
240039,ketchup,1,145,155,random_linf,86,86,0,ketchup_s1_w145_155,J_eligible_usable,S20J_randhead,pending
240040,ketchup,1,145,155,vis_pgd,86,,0,ketchup_s1_w145_155,J_eligible_usable,S20J_randhead,pending
240041,salad_dressing,1,55,65,random_linf,86,86,0,salad_dressing_s1_w55_65,J_eligible_usable,S20J_randhead,pending
240042,salad_dressing,1,55,65,vis_pgd,86,,0,salad_dressing_s1_w55_65,J_eligible_usable,S20J_randhead,pending
