step,clean_grip,targeted_grip,targeted_ok,targeted_err,random_grip,task_key,state_id,window_start,window_end,label_status,taxonomy
16,1.0,-1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
17,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
19,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
21,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
23,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
25,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
27,1.0,-1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
29,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
31,1.0,1.0,1,,1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
33,1.0,1.0,1,,-1.0,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
29,1.0,1.0,1,,1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
30,-1.0,-1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
32,-1.0,1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
34,-1.0,1.0,1,,1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
36,-1.0,1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
38,-1.0,-1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
40,-1.0,-1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
42,-1.0,-1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
44,-1.0,1.0,1,,-1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
46,1.0,1.0,1,,1.0,butter,0,29,46,positive,action_positive_physical_strong_task_positive
3,1.0,1.0,1,,1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
4,-1.0,1.0,1,,-1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
6,-1.0,1.0,1,,-1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
8,-1.0,-1.0,1,,-1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
10,-1.0,-1.0,1,,-1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
12,1.0,1.0,1,,1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
14,-1.0,-1.0,1,,-1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
16,1.0,-1.0,1,,1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
18,1.0,-1.0,1,,1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
20,1.0,1.0,1,,1.0,alphabet_soup,0,3,20,ignore,weak_physical_uncertain
21,1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
22,1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
24,1.0,-1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
26,1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
28,1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
30,1.0,1.0,1,,-1.0,alphabet_soup,3,21,38,ignore,polluted
32,1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
34,1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
36,1.0,1.0,1,,-1.0,alphabet_soup,3,21,38,ignore,polluted
38,-1.0,1.0,1,,1.0,alphabet_soup,3,21,38,ignore,polluted
4,-1.0,1.0,1,,-1.0,alphabet_soup,4,4,21,positive,claim_usable
5,1.0,-1.0,1,,1.0,alphabet_soup,4,4,21,positive,claim_usable
7,-1.0,1.0,1,,-1.0,alphabet_soup,4,4,21,positive,claim_usable
9,-1.0,-1.0,1,,-1.0,alphabet_soup,4,4,21,positive,claim_usable
11,1.0,-1.0,1,,1.0,alphabet_soup,4,4,21,positive,claim_usable
13,1.0,-1.0,1,,-1.0,alphabet_soup,4,4,21,positive,claim_usable
15,1.0,1.0,1,,1.0,alphabet_soup,4,4,21,positive,claim_usable
17,1.0,1.0,1,,1.0,alphabet_soup,4,4,21,positive,claim_usable
19,1.0,1.0,1,,1.0,alphabet_soup,4,4,21,positive,claim_usable
21,-1.0,-1.0,1,,-1.0,alphabet_soup,4,4,21,positive,claim_usable
29,-1.0,1.0,1,,-1.0,alphabet_soup,8,29,46,ignore,polluted
30,1.0,-1.0,1,,1.0,alphabet_soup,8,29,46,ignore,polluted
32,1.0,1.0,1,,1.0,alphabet_soup,8,29,46,ignore,polluted
34,1.0,1.0,1,,1.0,alphabet_soup,8,29,46,ignore,polluted
36,-1.0,-1.0,1,,1.0,alphabet_soup,8,29,46,ignore,polluted
38,-1.0,1.0,1,,-1.0,alphabet_soup,8,29,46,ignore,polluted
40,-1.0,-1.0,1,,-1.0,alphabet_soup,8,29,46,ignore,polluted
42,-1.0,1.0,1,,-1.0,alphabet_soup,8,29,46,ignore,polluted
44,1.0,1.0,1,,-1.0,alphabet_soup,8,29,46,ignore,polluted
46,1.0,-1.0,1,,1.0,alphabet_soup,8,29,46,ignore,polluted
30,-1.0,1.0,1,,-1.0,bbq_sauce,0,30,47,ignore,polluted
31,1.0,1.0,1,,1.0,bbq_sauce,0,30,47,ignore,polluted
33,-1.0,-1.0,1,,-1.0,bbq_sauce,0,30,47,ignore,polluted
35,1.0,1.0,1,,-1.0,bbq_sauce,0,30,47,ignore,polluted
37,1.0,1.0,1,,1.0,bbq_sauce,0,30,47,ignore,polluted
39,1.0,1.0,1,,1.0,bbq_sauce,0,30,47,ignore,polluted
41,1.0,1.0,1,,1.0,bbq_sauce,0,30,47,ignore,polluted
43,-1.0,1.0,1,,-1.0,bbq_sauce,0,30,47,ignore,polluted
45,1.0,1.0,1,,1.0,bbq_sauce,0,30,47,ignore,polluted
47,1.0,1.0,1,,1.0,bbq_sauce,0,30,47,ignore,polluted
27,1.0,1.0,1,,1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
28,1.0,1.0,1,,1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
30,-1.0,1.0,1,,-1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
32,-1.0,1.0,1,,-1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
34,-1.0,1.0,1,,-1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
36,-1.0,1.0,1,,1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
38,1.0,1.0,1,,1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
40,1.0,-1.0,1,,-1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
42,1.0,-1.0,1,,1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
44,-1.0,-1.0,1,,-1.0,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
22,1.0,1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
23,1.0,1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
25,1.0,1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
27,-1.0,-1.0,1,,-1.0,bbq_sauce,9,22,39,positive,claim_usable
29,1.0,1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
31,-1.0,1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
33,1.0,-1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
35,1.0,-1.0,1,,1.0,bbq_sauce,9,22,39,positive,claim_usable
37,-1.0,1.0,1,,-1.0,bbq_sauce,9,22,39,positive,claim_usable
39,-1.0,1.0,1,,-1.0,bbq_sauce,9,22,39,positive,claim_usable
29,1.0,-1.0,1,,1.0,butter,3,29,46,ignore,polluted
30,-1.0,1.0,1,,-1.0,butter,3,29,46,ignore,polluted
32,1.0,1.0,1,,1.0,butter,3,29,46,ignore,polluted
34,-1.0,1.0,1,,-1.0,butter,3,29,46,ignore,polluted
36,-1.0,1.0,1,,-1.0,butter,3,29,46,ignore,polluted
38,-1.0,1.0,1,,-1.0,butter,3,29,46,ignore,polluted
40,1.0,1.0,1,,1.0,butter,3,29,46,ignore,polluted
42,-1.0,1.0,1,,1.0,butter,3,29,46,ignore,polluted
44,-1.0,1.0,1,,-1.0,butter,3,29,46,ignore,polluted
46,-1.0,1.0,1,,-1.0,butter,3,29,46,ignore,polluted
25,-1.0,1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
26,-1.0,1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
28,-1.0,1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
30,-1.0,1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
32,-1.0,1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
34,-1.0,-1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
36,-1.0,-1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
38,-1.0,-1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
40,-1.0,1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
42,-1.0,-1.0,1,,-1.0,butter,5,25,42,positive,claim_usable
