phase,parent_id,task,state_id,seed,job_id,condition,trigger_found,C2O_count,success_primary,infra_status,summary_path,summary_sha256,trace_path,trace_sha256,trace_exists,included,exclusion_reason
P1_clean,alphabet_soup_s10,alphabet_soup,10,0,as10_r1,clean_observer,True,0,False,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_alphabet_soup_s10_v6_clean_observer_seed0_jobas10_r1.json,92aa20553e424cba60e327b8453c9a6c3c354ddaf2817af812651f5c5c320a53,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_alphabet_soup_s10_v6_clean_observer_seed0_jobas10_r1.csv,aa7791e24211122faf4efb78186d6a7240b4776dd95c39e1f88ffea8c5b78a35,True,True,
P1_clean,alphabet_soup_s10,alphabet_soup,10,0,p1_alphabet_soup_10_r0,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_alphabet_soup_s10_v6_clean_observer_seed0_jobp1_alphabet_soup_10_r0.json,bde7ad4f62d0c9441128c6bc9aae87212705cff198eddfd9d80be0cd667cf3b8,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_alphabet_soup_s10_v6_clean_observer_seed0_jobp1_alphabet_soup_10_r0.csv,1a15a11431d62225cb4b9b10ab9a86639941d1af488cf5b2f47463aa30079ee8,True,True,
P1_clean,bbq_sauce_s0,bbq_sauce,0,0,bbq0_r0b,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_bbq_sauce_s0_v6_clean_observer_seed0_jobbbq0_r0b.json,595a6a8e59e959e9c7ecdc4aeca5643ec9d3c117aa10bfa18f94a76c13fe7cdb,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_bbq_sauce_s0_v6_clean_observer_seed0_jobbbq0_r0b.csv,a95110ff4f4afe65e543ce05934eaef9da73873506caed871e20bae6bb0dd6e9,True,True,
P1_clean,bbq_sauce_s0,bbq_sauce,0,0,bbq0_r1b,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_bbq_sauce_s0_v6_clean_observer_seed0_jobbbq0_r1b.json,9c2844c618f6fb17deeae070199f026f931dabd1b33a66e873f3ae23e64dbc70,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_bbq_sauce_s0_v6_clean_observer_seed0_jobbbq0_r1b.csv,a037006147fe10d6bb10a360d861544cd48b054e1d7bb462637ef368decafe96,True,True,
P1_clean,butter_s2,butter,2,0,bt2_r1,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_butter_s2_v6_clean_observer_seed0_jobbt2_r1.json,f2e3b6197cccc639f6f84bd464e6168671771f7ad8cdc1747d2f9f16505f5975,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_butter_s2_v6_clean_observer_seed0_jobbt2_r1.csv,18593e0589004c6a90dae2b0604562c3430f416ee7782adc6e36191b5b70fd3c,True,True,
P1_clean,butter_s2,butter,2,0,p1_butter_2_r0,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_butter_s2_v6_clean_observer_seed0_jobp1_butter_2_r0.json,270f1af355a03a8e2139caaf852e2326efe1867780326f76a5f16c0778101002,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_butter_s2_v6_clean_observer_seed0_jobp1_butter_2_r0.csv,9b825f097659e32ccc291e2624fae1e13ef57bc7e3ac46e9f1c37f6c5b3c9ac8,True,True,
P1_clean,chocolate_pudding_s2,chocolate_pudding,2,0,cp2_r0,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_chocolate_pudding_s2_v6_clean_observer_seed0_jobcp2_r0.json,3af2b4c0b808d17a2991af78a9783b576e8f8953cda99c465abc5a956f2fb56b,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_chocolate_pudding_s2_v6_clean_observer_seed0_jobcp2_r0.csv,5769a0342fc396c69c7cb4a5d707e97464684327864af53bfe055249a68d9153,True,True,
P1_clean,chocolate_pudding_s2,chocolate_pudding,2,0,cp2_r1b,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_chocolate_pudding_s2_v6_clean_observer_seed0_jobcp2_r1b.json,53a16b9903575e9c3f2f443fc1aa0111f39162b281d5ff48af2513b897c99b91,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_chocolate_pudding_s2_v6_clean_observer_seed0_jobcp2_r1b.csv,62089d8fdcf99ce30f8c876140e4013fe9b59466ab468a0e97d3d41dbce851da,True,True,
P1_clean,cream_cheese_s2,cream_cheese,2,0,p1_cream_cheese_2_r0,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_cream_cheese_s2_v6_clean_observer_seed0_jobp1_cream_cheese_2_r0.json,1a0c189b6f49e2222dc176b783ee6776cc249bbd0fafbb24fb153306a07822b3,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_cream_cheese_s2_v6_clean_observer_seed0_jobp1_cream_cheese_2_r0.csv,53d8a39d97f9b1069855b72cc806dd896491569737c1bc151c0c54c43e2baa47,True,True,
P1_clean,cream_cheese_s2,cream_cheese,2,0,p1_cream_cheese_s2_r1,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_cream_cheese_s2_v6_clean_observer_seed0_jobp1_cream_cheese_s2_r1.json,ad6f282d30eb92dfd00b5594a0d04e9d95964916f4276fffa49aef9c8a320524,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_cream_cheese_s2_v6_clean_observer_seed0_jobp1_cream_cheese_s2_r1.csv,9ad5accb38f1b96bc10aebb8da20bab67516aa1013af61fa861c5f51d7e34ac7,True,True,
P1_clean,ketchup_s11,ketchup,11,0,kt11_r0,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_ketchup_s11_v6_clean_observer_seed0_jobkt11_r0.json,1832bdfd483412b4d9fe55e17769f2b1409163b4473ffc4c86ff07f7fdaa50a6,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_ketchup_s11_v6_clean_observer_seed0_jobkt11_r0.csv,7112c748f2b993c028f244737c32d684a8ef7604fcd0d08fc377d76a16ed6b9c,True,True,
P1_clean,ketchup_s11,ketchup,11,0,kt11_r1b,clean_observer,True,0,True,ok,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/summary_ketchup_s11_v6_clean_observer_seed0_jobkt11_r1b.json,d982a22f82a9efd15e27cf9f60851ec812630774cefec62396c7864a08f4947f,/data/liuyu/outputs/stageb_v6_online_trigger_pilot_20260613/phase1_v2/trace_ketchup_s11_v6_clean_observer_seed0_jobkt11_r1b.csv,0fd82e225c814528cb31deede478bf08258ddda084492b03c31afb0105cecde1,True,True,
P2_rand,alphabet_soup_s10,alphabet_soup,10,91,r_alphabet_soup_s10_s91,online_random_linf,True,0,False,ok,/data/liuyu/outputs/stageb_v6_rand_veto/summary_alphabet_soup_s10_v6_online_random_linf_seed91_jobr_alphabet_soup_s10_s91.json,766ca6301bc83fe2c8282102e17cad6ebc9878f8981c27b93706ba2791f99d3c,/data/liuyu/outputs/stageb_v6_rand_veto/trace_alphabet_soup_s10_v6_online_random_linf_seed91_jobr_alphabet_soup_s10_s91.csv,350aa6942f2ee9b8cc21cb162ed0f25d46076eff2c51548e506c3ba18bf5d5a4,True,True,
P2_rand,alphabet_soup_s10,alphabet_soup,10,92,r_alphabet_soup_s10_s92,online_random_linf,True,1,True,ok,/data/liuyu/outputs/stageb_v6_rand_veto/summary_alphabet_soup_s10_v6_online_random_linf_seed92_jobr_alphabet_soup_s10_s92.json,3af9487ac11b0b61c3b742ff3bfc2e5bf74c1c068d958e4a2ac8f7dc0356fe0b,/data/liuyu/outputs/stageb_v6_rand_veto/trace_alphabet_soup_s10_v6_online_random_linf_seed92_jobr_alphabet_soup_s10_s92.csv,23aad9ec01ae04c672d277e3045c31abbd7661440d2a8a5ecfc3a03a49224649,True,True,
