suite,feature,transform,n,mean,std,min,max,missing_rate,nan_rate,inf_rate,zero_rate,object_mean_abs_distance
libero_10,action_gripper,raw,110,-0.9818181818181818,0.18982375470746443,-1.0,1.0,0.0,0.0,0.0,0.0,0.00032467532467528315
libero_10,eef_vx,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_10,eef_vy,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_10,eef_vz,raw,110,-0.00031006336212158203,0.00049887151883603,-0.002587616443634033,0.00032001733779907227,0.0,0.0,0.0,0.0,3.9861404470035024e-05
libero_10,eef_x,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_10,eef_x,relative_initial,0,,,,,1.0,0.0,0.0,0.0,
libero_10,eef_y,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_10,eef_y,relative_initial,0,,,,,1.0,0.0,0.0,0.0,
libero_10,eef_z,raw,110,0.9289985819296404,0.24561000608610692,0.662209689617157,1.1900619268417358,0.0,0.0,0.0,0.0,0.6679871086273101
libero_10,eef_z,relative_initial,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
libero_10,gripper_command,raw,110,-0.9818181818181818,0.18982375470746443,-1.0,1.0,0.0,0.0,0.0,0.0,0.00032467532467528315
libero_10,gripper_qpos,raw,110,0.07062441859055649,0.02233295839103241,-2.209097146987915e-06,0.07775160670280457,0.0,0.0,0.0,0.0,0.0012617804049574605
libero_10,gripper_width,raw,110,0.07766478081995791,8.526181712025206e-05,0.07717414945363998,0.07775160670280457,0.0,0.0,0.0,0.0,4.454705767431566e-06
libero_goal,action_gripper,raw,122,-0.9016393442622951,0.2978016741735238,-1.0,0.0,0.0,0.0,0.0,0.09836065573770492,0.08050351288056201
libero_goal,eef_vx,raw,12,0.0,0.0,0.0,0.0,0.9016393442622951,0.0,0.0,1.0,
libero_goal,eef_vy,raw,12,0.0,0.0,0.0,0.0,0.9016393442622951,0.0,0.0,1.0,
libero_goal,eef_vz,raw,122,-0.0006200260803347729,0.0009088405724959007,-0.003970146179199219,0.003012418746948242,0.0,0.0,0.0,0.09836065573770492,0.0002701013137431558
libero_goal,eef_x,raw,12,-0.20992254669545116,0.009239012857687112,-0.2220071917855178,-0.18525750234127542,0.9016393442622951,0.0,0.0,0.0,
libero_goal,eef_x,relative_initial,12,0.0,0.0,0.0,0.0,0.9016393442622951,0.0,0.0,1.0,
libero_goal,eef_y,raw,12,-0.0012492812978393464,0.013203766866673116,-0.018886946650997685,0.02515219407836365,0.9016393442622951,0.0,0.0,0.0,
libero_goal,eef_y,relative_initial,12,0.0,0.0,0.0,0.0,0.9016393442622951,0.0,0.0,1.0,
libero_goal,eef_z,raw,122,1.1725537536563184,0.008575252212778328,1.1567927837246734,1.2018693685531616,0.0,0.0,0.0,0.0,0.9115422803539881
libero_goal,eef_z,relative_initial,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
libero_goal,gripper_command,raw,122,-0.8036644165633154,0.5944354987140155,-1.0,0.9960784316062927,0.0,0.0,0.0,0.0,0.17847844057954165
libero_goal,gripper_qpos,raw,122,0.06575477134848375,0.0258351870589575,-3.557652235031128e-06,0.07770994305610657,0.0,0.0,0.0,0.0,0.003607866837115281
libero_goal,gripper_width,raw,122,0.07383772234487368,0.011598414365761997,0.03872098407137602,0.07770994305610657,0.0,0.0,0.0,0.0,0.0038226037693167986
libero_object,action_gripper,raw,112,-0.9821428571428571,0.18813667415808458,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
libero_object,eef_vx,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_object,eef_vy,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_object,eef_vz,raw,112,-0.00034992476659161705,0.0004029503320729365,-0.003080517053604126,0.0005175173282623291,0.0,0.0,0.0,0.0,0.0
libero_object,eef_x,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_object,eef_x,relative_initial,0,,,,,1.0,0.0,0.0,0.0,
libero_object,eef_y,raw,0,,,,,1.0,0.0,0.0,0.0,
libero_object,eef_y,relative_initial,0,,,,,1.0,0.0,0.0,0.0,
libero_object,eef_z,raw,112,0.26101147330233027,0.00801670415333796,0.2433769404888153,0.2793135941028595,0.0,0.0,0.0,0.0,0.0
libero_object,eef_z,relative_initial,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
libero_object,gripper_command,raw,112,-0.9821428571428571,0.18813667415808458,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
libero_object,gripper_qpos,raw,112,0.06936263818559903,0.024027803126650017,-3.7811696529388428e-06,0.07773764431476593,0.0,0.0,0.0,0.0,0.0
libero_object,gripper_width,raw,112,0.07766032611419048,8.859908417451905e-05,0.07718300819396973,0.07773764431476593,0.0,0.0,0.0,0.0,0.0
libero_spatial,action_gripper,raw,131,-0.8473282442748091,0.3596708088363281,-1.0,0.0,0.0,0.0,0.0,0.15267175572519084,0.13481461286804797
libero_spatial,eef_vx,raw,20,0.0,0.0,0.0,0.0,0.8473282442748091,0.0,0.0,1.0,
libero_spatial,eef_vy,raw,20,0.0,0.0,0.0,0.0,0.8473282442748091,0.0,0.0,1.0,
libero_spatial,eef_vz,raw,131,0.0002486323582307073,0.0010481349705504437,-0.0016922950744628906,0.005524873733520508,0.0,0.0,0.0,0.15267175572519084,0.0005985571248223243
libero_spatial,eef_x,raw,20,-0.20740574154312325,0.005282583116350658,-0.21989935940225144,-0.19588754208780498,0.8473282442748091,0.0,0.0,0.0,
libero_spatial,eef_x,relative_initial,20,0.0,0.0,0.0,0.0,0.8473282442748091,0.0,0.0,1.0,
libero_spatial,eef_y,raw,20,0.0006235146743875107,0.012607196301563163,-0.027119456310844964,0.0206070307221641,0.8473282442748091,0.0,0.0,0.0,
libero_spatial,eef_y,relative_initial,20,0.0,0.0,0.0,0.0,0.8473282442748091,0.0,0.0,1.0,
libero_spatial,eef_z,raw,131,1.1751686025646848,0.008399625275038975,1.1530885696411133,1.1951662302017212,0.0,0.0,0.0,0.0,0.9141571292623545
libero_spatial,eef_z,relative_initial,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
libero_spatial,gripper_command,raw,131,-0.695255201281482,0.7179311439965848,-1.0,0.9960784316062927,0.0,0.0,0.0,0.0,0.2868876558613751
libero_spatial,gripper_qpos,raw,131,0.06252811708613963,0.027680132926565747,-5.550682544708252e-06,0.07774536311626434,0.0,0.0,0.0,0.0,0.006834521099459395
libero_spatial,gripper_width,raw,131,0.07172466962379341,0.014008610900125402,0.03872000512694163,0.07774536311626434,0.0,0.0,0.0,0.0,0.005935656490397068
