score_row_sha256,finite,target_31744_score,close_31872_score,target_minus_close,top_tokens,top_scores,top_token,top_score,context_len,prompt_len,repeat_idx,profile
5c7b0e4c10f95d05a1bd295e16d9a44784c1119ac74bbb38be0ba125baac2887,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.25, 41.0, 20.375, 18.625, 16.0, 14.5625, 13.625, 12.5, 12.3125, 12.125]",31872,41.25,34,28,0,C0_AUTO_DEVICE_MAP
2499021a4afac1ed160b8aaadbee7449f8908caf50ad734143d8d9c5e28a1334,True,41.0,41.0,0.0,"[31744, 31872, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.0, 41.0, 20.5, 18.625, 16.25, 14.5625, 13.375, 12.4375, 12.25, 12.0]",31744,41.0,34,28,1,C0_AUTO_DEVICE_MAP
5c7b0e4c10f95d05a1bd295e16d9a44784c1119ac74bbb38be0ba125baac2887,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.25, 41.0, 20.375, 18.625, 16.0, 14.5625, 13.625, 12.5, 12.3125, 12.125]",31872,41.25,34,28,2,C0_AUTO_DEVICE_MAP
5c7b0e4c10f95d05a1bd295e16d9a44784c1119ac74bbb38be0ba125baac2887,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.25, 41.0, 20.375, 18.625, 16.0, 14.5625, 13.625, 12.5, 12.3125, 12.125]",31872,41.25,34,28,3,C0_AUTO_DEVICE_MAP
fd88ab2d96e9c3d27aa0ef5a90b03935a00bcc88f844f4c4444d3adb8240e3af,True,41.0,41.0,0.0,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.0, 41.0, 20.125, 18.5, 16.25, 14.5625, 13.375, 12.3125, 12.25, 11.9375]",31872,41.0,34,28,4,C0_AUTO_DEVICE_MAP
624a30e88bc749df866e4f78c125b4e241286ca3104e0f4d703162f66b633d0a,True,40.75,41.25,-0.5,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 40.75, 20.125, 18.125, 15.9375, 14.375, 13.0625, 12.25, 12.1875, 11.875]",31872,41.25,34,28,5,C0_AUTO_DEVICE_MAP
494815abd024d0d37d96ad8a2069cd77d0e4cca12e6f8428931ed56b40ccd526,True,41.25,41.25,0.0,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.25, 20.25, 18.375, 16.125, 14.5625, 13.0625, 12.4375, 12.125, 12.0625]",31872,41.25,34,28,6,C0_AUTO_DEVICE_MAP
ea70610874ca0256c9b7ed6c5cd8a958598ef0541cfc1b0e8f6d5ddef6ac8188,True,41.25,41.5,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.5, 41.25, 20.25, 18.75, 16.25, 14.375, 13.3125, 12.4375, 12.25, 12.1875]",31872,41.5,34,28,7,C0_AUTO_DEVICE_MAP
245453b2b6aa1b09c56828b75fab0348aabd60fade35eccacf215fb76394ad0d,True,41.25,41.25,0.0,"[31744, 31872, 31752, 31750, 31751, 31757, 31760, 31753, 2, 31765]","[41.25, 41.25, 20.25, 18.5, 15.75, 14.4375, 13.3125, 12.4375, 12.0, 11.875]",31744,41.25,34,28,8,C0_AUTO_DEVICE_MAP
5c7b0e4c10f95d05a1bd295e16d9a44784c1119ac74bbb38be0ba125baac2887,True,41.0,41.25,-0.25,"[31872, 31744, 31752, 31750, 31751, 31757, 31760, 31753, 31765, 2]","[41.25, 41.0, 20.375, 18.625, 16.0, 14.5625, 13.625, 12.5, 12.3125, 12.125]",31872,41.25,34,28,9,C0_AUTO_DEVICE_MAP
