task,task_id,state_id,condition,worker_id,gpu_pair,output_root
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,0,clean,atk_cream_clean,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,1,clean,atk_cream_clean,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,2,clean,atk_cream_clean,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,3,clean,atk_cream_clean,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,4,clean,atk_cream_clean,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,0,oracle_open,atk_cream_oracle,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,1,oracle_open,atk_cream_oracle,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,2,oracle_open,atk_cream_oracle,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,3,oracle_open,atk_cream_oracle,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,4,oracle_open,atk_cream_oracle,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,0,random_control,atk_cream_random,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,1,random_control,atk_cream_random,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
pick_up_the_cream_cheese_and_place_it_in_the_basket,libero_object_cream_cheese,2,random_control,atk_cream_random,2_6,/data/liuyu/outputs/milestone_2f_object_detector_matched_attack_pilot_20260529
