step,fgsm1_grad_norm,fgsm1_open_score_gain,fgsm1_loss_delta,fgsm1_open_prob_gain,fgsm1_token_flip,fgsm1_probe_status,fgsm1_probe_error,pgd1_grad_norm,pgd1_open_score_gain,pgd1_loss_delta,pgd1_open_prob_gain,pgd1_token_flip,pgd1_probe_status,pgd1_probe_error,pgd3_grad_norm,pgd3_open_score_gain,pgd3_loss_delta,pgd3_open_prob_gain,pgd3_token_flip,pgd3_probe_status,pgd3_probe_error,max_open_score_gain,max_grad_norm,any_token_flip,any_probe_error,open_token_count,close_token_count,task_key,state_id,window_start,window_end,label_status,taxonomy
16,12.375,0.310349,-0.310349,0.0,False,ok,,12.375,0.310349,-0.310349,0.0,False,ok,,12.0625,-0.239441,0.239441,0.0,False,ok,,0.310349,12.375,0,0,127,128,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
24,15.5,1.837372,-1.837372,0.0,True,ok,,15.5,1.837372,-1.837372,0.0,True,ok,,19.375,3.624386,-3.624386,0.0,True,ok,,3.624386,19.375,1,0,127,128,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
33,10.3125,1.725624,-1.725624,0.0,True,ok,,10.3125,1.725624,-1.725624,0.0,True,ok,,19.75,1.846771,-1.846771,0.0,False,ok,,1.846771,19.75,1,0,127,128,ketchup,0,16,33,positive,action_positive_physical_strong_task_positive
4,8.875,0.682266,-0.682266,0.0,True,ok,,8.875,0.682266,-0.682266,0.0,True,ok,,10.625,0.035224,-0.035224,0.0,False,ok,,0.682266,10.625,1,0,127,128,alphabet_soup,4,4,21,positive,claim_usable
12,18.875,-0.78825,0.78825,0.0,True,ok,,18.875,-0.78825,0.78825,0.0,True,ok,,17.625,-1.070961,1.070961,0.0,False,ok,,-0.78825,18.875,1,0,127,128,alphabet_soup,4,4,21,positive,claim_usable
21,13.5,-0.35091,0.35091,0.0,True,ok,,13.5,-0.35091,0.35091,0.0,True,ok,,22.125,0.247761,-0.247761,0.0,False,ok,,0.247761,22.125,1,0,127,128,alphabet_soup,4,4,21,positive,claim_usable
27,17.25,-0.205811,0.205811,0.0,True,ok,,17.25,-0.205811,0.205811,0.0,True,ok,,21.5,0.380436,-0.380436,0.0,False,ok,,0.380436,21.5,1,0,127,128,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
35,15.4375,-0.381301,0.381301,0.0,True,ok,,15.4375,-0.381301,0.381301,0.0,True,ok,,14.125,-0.459804,0.459804,0.0,True,ok,,-0.381301,15.4375,1,0,127,128,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
44,16.25,-0.196121,0.196121,0.0,False,ok,,16.25,-0.196121,0.196121,0.0,False,ok,,16.875,-1.059555,1.059555,0.0,False,ok,,-0.196121,16.875,0,0,127,128,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
40,12.5,0.081249,-0.081249,0.0,True,ok,,12.5,0.081249,-0.081249,0.0,True,ok,,15.625,-0.180157,0.180157,0.0,True,ok,,0.081249,15.625,1,0,127,128,alphabet_soup,6,40,57,negative,no_action_bridge
48,12.25,1.794193,-1.794193,0.0,True,ok,,12.25,1.794193,-1.794193,0.0,True,ok,,15.6875,-0.096234,0.096234,0.0,False,ok,,1.794193,15.6875,1,0,127,128,alphabet_soup,6,40,57,negative,no_action_bridge
57,13.1875,0.832745,-0.832745,0.0,True,ok,,13.1875,0.832745,-0.832745,0.0,True,ok,,13.125,0.884659,-0.884659,0.0,True,ok,,0.884659,13.1875,1,0,127,128,alphabet_soup,6,40,57,negative,no_action_bridge
