task,condition,seed,controller,K,Q,max_duration,duration,window_start,window_end,trace_timestamp,success,window_steps,attacks_applied,token_flips_full_window,token_flips_attacked_steps,open_count,open_count_full_window,open_count_attacked_steps,longest_open_streak,qpos_delta_pre,qpos_delta_post,arm_l2,stop_reason,validity_status,validity_note,trace_path
cream_cheese,vis_pgd,0,open_streak_stop,5,0,16,11,65,75,042831,True,11,11,7,7,7,7,7,3,0.000936,,0.906342,force_window_end,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d11_w65_75_seed0_open_streak_stop_K5_Q0_md16_042831_trace.csv
cream_cheese,vis_pgd,0,open_streak_stop,2,0,16,16,65,80,110852,True,16,2,2,2,2,2,2,2,4.9e-05,,0.854278,streak_threshold,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K2_Q0_md16_110852_trace.csv
cream_cheese,vis_pgd,0,open_streak_stop,3,0,16,16,65,80,112346,True,16,13,4,4,4,4,4,3,0.000515,,0.858631,streak_threshold,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_112346_trace.csv
cream_cheese,vis_pgd,0,open_streak_stop,3,0,16,16,65,80,120533,True,16,16,7,7,7,7,7,2,0.001094,,0.881589,max_duration,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_120533_trace.csv
cream_cheese,vis_pgd,0,min_hold_qpos_cap,0,0.008,20,20,65,84,114917,False,20,20,11,11,11,11,11,6,0.003464,,0.865677,max_duration,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d20_w65_84_seed0_min_hold_qpos_cap_K0_Q0.008_md20_114917_trace.csv
ketchup,vis_pgd,0,open_streak_stop,5,0,16,11,93,103,021314,False,11,5,5,5,10,10,5,5,0.003963,,0.925832,streak_threshold,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_021314_trace.csv
ketchup,vis_pgd,0,open_streak_stop,5,0,16,11,93,103,110921,True,11,11,1,1,0,0,0,0,6.3e-05,,0.888726,force_window_end,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d11_w93_103_seed0_open_streak_stop_K5_Q0_md16_110921_trace.csv
ketchup,vis_pgd,0,open_streak_stop,3,0,16,16,93,108,112613,True,16,16,3,3,3,3,3,1,0.0001,,0.85939,max_duration,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_112613_trace.csv
ketchup,vis_pgd,0,open_streak_stop,3,0,16,16,93,108,120646,False,16,14,8,8,6,6,5,3,0.012237,,0.489708,streak_threshold,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d16_w93_108_seed0_open_streak_stop_K3_Q0_md16_120646_trace.csv
ketchup,vis_pgd,0,min_hold_qpos_cap,0,0.012,20,20,93,112,114638,True,20,20,8,8,8,8,8,3,0.000187,,0.862579,max_duration,schema_incomplete,missing_fields=attack_attempted|controller_active|controller_stopped|effective_attack_step_idx|pgd_applied|qpos_post_step|qpos_pre_step,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_ketchup_s0_vis_pgd_full_d20_w93_112_seed0_min_hold_qpos_cap_K0_Q0.012_md20_114638_trace.csv
