VIS_OPEN,action_bridge_confounded,candidate_role,claim_usable,control_type,denominator_clean,denominator_type,done,exclusion_or_uncertain_reason,label_action_bridge,label_physical_response,label_status,label_task_failure,label_use,label_vulnerability_ready,phase_bin_proxy,provenance_note,provenance_status,qpos_label,qpos_opening_delta,reason_selected,source_batch,state_id,task_key,taxonomy,vis_open_count,window_end,window_start
18/18,False,raw_audit_group,True,,True,standard,False,,1,1,positive,1,train,1,far_closed_proxy,complete,complete,strong,0.038042,,batch1,0,ketchup,action_positive_physical_strong_task_positive,18,33,16
18/18,False,manual_merge_validated,True,,True,standard,False,,1,1,positive,1,train,1,near_closed_proxy,split groups; merged via manual_trace_merge.csv,split groups; merged via manual_trace_merge.csv,strong,0.037905,,batch1,0,butter,action_positive_physical_strong_task_positive,18,46,29
18/18,False,complete_denominator,False,,True,standard,False,weak_physical_uncertain,1,0.5,ignore,1,ignore,,far_closed_proxy,random completed; claim=False because qpos<0.03,random completed; claim=False because qpos<0.03,weak,0.027619,,batch1,0,alphabet_soup,weak_physical_uncertain,18,20,3
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,3,alphabet_soup,polluted,0,38,21
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.032241,,batch3,4,alphabet_soup,claim_usable,18,21,4
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,8,alphabet_soup,polluted,0,46,29
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,0,bbq_sauce,polluted,0,47,30
18.0,False,,False,,True,standard,True,,1,1,negative,0,train,0,grasp_formation,,unknown,strong,0.038119,,batch3,5,bbq_sauce,action_positive_physical_positive_task_negative,18,44,27
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.038021,,batch3,9,bbq_sauce,claim_usable,18,39,22
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,3,butter,polluted,0,46,29
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.037568,,batch3,5,butter,claim_usable,18,42,25
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.038149,,batch3,4,cream_cheese,claim_usable,18,45,28
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.037871,,batch3,1,ketchup,claim_usable,18,38,21
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,2,ketchup,polluted,0,56,39
18.0,False,,False,,True,standard,True,,1,1,negative,0,train,0,grasp_formation,,unknown,strong,0.037403,,batch3,5,ketchup,action_positive_physical_positive_task_negative,18,26,9
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.036838,,batch3,1,milk,claim_usable,18,25,8
18.0,False,,True,,True,standard,False,,1,1,positive,1,train,1,grasp_formation,,unknown,strong,0.03789,,batch3,4,milk,claim_usable,18,36,19
18.0,False,,False,,True,standard,True,,1,1,negative,0,train,0,grasp_formation,,unknown,strong,0.03799,,batch3,5,milk,action_positive_physical_positive_task_negative,18,42,25
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,9,milk,polluted,0,22,5
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3,0,salad_dressing,polluted,0,48,31
18.0,False,,False,,True,standard,True,,1,1,negative,0,train,0,grasp_formation,,unknown,strong,0.036668,,batch3,0,salad_dressing,action_positive_physical_positive_task_negative,18,24,7
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,6,alphabet_soup,no_action_bridge,0,57,40
,False,,False,,False,standard,True,polluted,0,0,ignore,0,ignore,,grasp_formation,,unknown,none,0.0,,batch3b,0,bbq_sauce,polluted,0,32,15
1.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,0,bbq_sauce,no_action_bridge,1,22,5
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,4,ketchup,no_action_bridge,0,45,28
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,1,milk,no_action_bridge,0,35,18
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,8,milk,no_action_bridge,0,25,8
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,2,orange_juice,no_action_bridge,0,34,17
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,5,salad_dressing,no_action_bridge,0,45,28
1.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,4e-06,,batch3b,1,tomato_sauce,no_action_bridge,1,40,23
0.0,False,,False,,True,standard,True,,0,0,negative,0,train,0,grasp_formation,,unknown,none,0.0,,batch3b,3,tomato_sauce,no_action_bridge,0,34,17
