job_id,wave,suite,task_idx,state_id,status,episode_path,summary_exists,artifact_exists,files_stable,eligible_active_complete_snapshot
waveA_libero_spatial_t00_s00,A,libero_spatial,0,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t00_s00,True,True,True,True
waveA_libero_spatial_t00_s01,A,libero_spatial,0,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t00_s01,True,True,True,True
waveA_libero_spatial_t00_s02,A,libero_spatial,0,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t00_s02,True,True,True,True
waveA_libero_spatial_t00_s03,A,libero_spatial,0,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t00_s03,True,True,True,True
waveA_libero_spatial_t00_s04,A,libero_spatial,0,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t00_s04,True,True,True,True
waveA_libero_spatial_t01_s00,A,libero_spatial,1,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t01_s00,True,True,True,True
waveA_libero_spatial_t01_s01,A,libero_spatial,1,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t01_s01,True,True,True,True
waveA_libero_spatial_t01_s02,A,libero_spatial,1,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t01_s02,True,True,True,True
waveA_libero_spatial_t01_s03,A,libero_spatial,1,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t01_s03,True,True,True,True
waveA_libero_spatial_t01_s04,A,libero_spatial,1,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t01_s04,True,True,True,True
waveA_libero_spatial_t02_s00,A,libero_spatial,2,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t02_s00,True,True,True,True
waveA_libero_spatial_t02_s01,A,libero_spatial,2,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t02_s01,True,True,True,True
waveA_libero_spatial_t02_s02,A,libero_spatial,2,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t02_s02,True,True,True,True
waveA_libero_spatial_t02_s03,A,libero_spatial,2,3,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t02_s03,True,True,True,True
waveA_libero_spatial_t02_s04,A,libero_spatial,2,4,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t02_s04,True,True,True,True
waveA_libero_spatial_t03_s00,A,libero_spatial,3,0,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s00,True,True,True,True
waveA_libero_spatial_t03_s01,A,libero_spatial,3,1,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s01,True,True,True,True
waveA_libero_spatial_t03_s02,A,libero_spatial,3,2,COMPLETE,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s02,True,True,True,True
