object,state_id,window,seed,condition,open_count,max_open_streak,qpos_pos_area,oracle_ref,oracle_norm,qpos_area_on_open_steps,qpos_area_on_nonopen_steps,qpos_peak_diff,response_delay_after_first_open,matched_rand_open_count,matched_rand_norm,failure_mode
milk,0,70-80,9,vis_pgd,7,4,0.1248,0.2949,0.423,0.0857,0.0391,0.0177,4,0,0.000,clean_bridge_positive
milk,0,70-80,10,vis_pgd,6,5,0.0783,0.2949,0.265,0.0311,0.0472,0.0163,8,0,0.055,clean_bridge_positive
milk,0,70-80,11,vis_pgd,6,4,0.1115,0.2949,0.378,0.0746,0.0369,0.0170,4,1,0.000,clean_bridge_positive
milk,0,70-80,12,vis_pgd,6,4,0.0381,0.2949,0.129,0.0315,0.0066,0.0137,6,0,0.030,physical_transfer_weak
butter,0,90-100,13,vis_pgd,2,2,0.0048,0.3436,0.007,0.0018,0.0030,0.0010,-1,1,0.158,command_weak
butter,0,90-100,14,vis_pgd,2,2,0.0085,0.3436,0.013,0.0000,0.0085,0.0021,-1,3,0.261,command_weak_random_confounded
tomato_sauce,2,155-165,15,vis_pgd,6,5,0.1174,0.6217,0.189,0.0325,0.0849,0.0167,7,2,0.266,physical_transfer_weak_random_drift_confounded
tomato_sauce,2,155-165,16,vis_pgd,6,2,0.0538,0.6217,0.087,0.0138,0.0400,0.0082,7,7,0.950,random_command_confounded
tomato_sauce,2,155-165,17,vis_pgd,7,3,0.1572,0.6217,0.253,0.0520,0.1052,0.0209,5,5,0.116,random_command_confounded
cream_cheese,2,50-60,21,vis_pgd,2,1,0.0020,0.2838,0.007,0.0006,0.0014,0.0016,-1,0,0.006,command_weak
cream_cheese,2,50-60,22,vis_pgd,3,2,0.0124,0.2838,0.044,0.0041,0.0084,0.0038,-1,0,0.000,command_weak
cream_cheese,2,50-60,23,vis_pgd,2,2,0.0005,0.2838,0.002,0.0002,0.0003,0.0003,-1,0,0.083,command_weak_random_drift_confounded
