task,state_id,window_start,window_end,seed,phase,first_close_step,lift_step,label_quality,rand_open,rand_streak,rand_done,rand_timeout,rand_steps,vis_open,vis_streak,vis_done,vis_timeout,vis_steps,open_delta,streak_delta,classification
tomato_sauce,3,70,80,80,early_transport,63,73,USABLE,5,2,True,False,128,0,0,True,False,151,-5,-2,no_effect
tomato_sauce,5,80,90,80,grasp_transition,64,110,STRICT,2,1,True,False,133,0,0,True,False,135,-2,-1,no_effect
ketchup,1,40,50,80,grasp_transition,45,107,STRICT,3,1,True,False,228,7,4,True,False,133,4,3,cmd_specific
ketchup,1,90,100,80,grasp_transition,45,107,STRICT,2,1,True,False,220,0,0,True,False,144,-2,-1,no_effect
tomato_sauce,5,165,175,80,place_or_done,64,110,STRICT,0,0,True,False,159,1,1,True,False,166,1,1,cmd_borderline
ketchup,1,65,75,80,grasp_transition,45,107,STRICT,0,0,True,False,144,2,1,False,True,280,2,1,contact_effect_weak
ketchup,1,165,175,80,preplace,45,107,STRICT,0,0,True,False,147,0,0,True,False,185,0,0,no_effect
tomato_sauce,5,100,110,80,grasp_transition,64,110,USABLE,4,2,True,False,187,0,0,True,False,148,-4,-2,no_effect
ketchup,1,135,145,80,transport,45,107,USABLE,5,5,True,False,140,0,0,True,False,139,-5,-5,no_effect
ketchup,1,50,60,80,grasp_transition,45,107,STRICT,0,0,True,False,182,0,0,True,False,127,0,0,no_effect
ketchup,1,140,150,80,transport,45,107,STRICT,1,1,True,False,183,0,0,True,False,181,-1,-1,no_effect
tomato_sauce,5,90,100,80,grasp_transition,64,110,STRICT,1,1,True,False,211,0,0,True,False,163,-1,-1,no_effect
ketchup,1,130,140,80,transport,45,107,USABLE,5,1,True,False,203,0,0,True,False,183,-5,-1,no_effect
ketchup,1,100,110,80,grasp_transition,45,107,USABLE,4,3,True,False,145,0,0,True,False,184,-4,-3,no_effect
ketchup,1,155,165,80,preplace,45,107,STRICT,0,0,True,False,129,0,0,True,False,184,0,0,no_effect
tomato_sauce,5,85,95,80,grasp_transition,64,110,STRICT,2,1,True,False,180,0,0,True,False,132,-2,-1,no_effect
tomato_sauce,5,160,170,80,preplace,64,110,STRICT,0,0,True,False,135,8,5,True,False,170,8,5,cmd_specific
tomato_sauce,5,65,75,80,grasp_transition,64,110,STRICT,0,0,True,False,163,1,1,True,False,145,1,1,cmd_borderline
tomato_sauce,5,75,85,80,grasp_transition,64,110,STRICT,0,0,True,False,150,0,0,True,False,153,0,0,no_effect
tomato_sauce,5,70,80,80,grasp_transition,64,110,STRICT,2,2,True,False,141,8,7,False,True,280,6,5,task_effect
ketchup,1,115,125,80,transport,45,107,USABLE,5,2,True,False,138,0,0,True,False,142,-5,-2,no_effect
ketchup,1,55,65,80,grasp_transition,45,107,STRICT,0,0,True,False,138,0,0,False,True,280,0,0,contact_effect_weak
tomato_sauce,5,155,165,80,preplace,64,110,USABLE,5,5,True,False,160,6,4,True,False,169,1,-1,cmd_borderline
ketchup,1,150,160,80,transport,45,107,STRICT,0,0,True,False,181,0,0,True,False,168,0,0,no_effect
tomato_sauce,5,95,105,80,grasp_transition,64,110,USABLE,5,3,True,False,206,0,0,True,False,167,-5,-3,no_effect
tomato_sauce,5,145,155,80,preplace,64,110,USABLE,5,5,True,False,150,5,4,False,True,280,0,-1,contact_effect_weak
ketchup,1,70,80,80,grasp_transition,45,107,USABLE,5,2,True,False,222,7,6,True,False,180,2,4,cmd_borderline
tomato_sauce,3,25,35,80,approach,63,73,STRICT,3,2,True,False,275,10,10,True,False,147,7,8,cmd_specific
tomato_sauce,3,75,85,80,transport,63,73,USABLE,4,1,True,False,153,0,0,True,False,149,-4,-1,no_effect
ketchup,1,110,120,80,transport,45,107,STRICT,1,1,True,False,186,0,0,True,False,187,-1,-1,no_effect
ketchup,1,120,130,80,transport,45,107,STRICT,0,0,True,False,213,0,0,True,False,184,0,0,no_effect
tomato_sauce,5,150,160,80,preplace,64,110,STRICT,0,0,True,False,138,5,3,True,False,161,5,3,cmd_specific
tomato_sauce,5,60,70,80,grasp_transition,64,110,STRICT,0,0,True,False,226,4,4,True,False,164,4,4,cmd_specific
tomato_sauce,3,70,80,96,early_transport,63,73,USABLE,4,3,True,False,145,0,0,True,False,136,-4,-3,no_effect
ketchup,1,105,115,97,early_transport,45,107,STRICT,0,0,True,False,194,0,0,True,False,186,0,0,no_effect
