episode_id,task_key,state_id,window_start,window_end,T_gform,relative_lead,phase_bin_proxy,phase_bin_confidence,clean_open_ratio,candidate_source,rank,reason
obj100_chocolate_pudding_rerun_chocolate_pudding_s6,chocolate_pudding,6,37,54,86,-49,grasp_formation_pre_lock_proxy,high,0.0,negative_delay_sweep,1,grasp_formation_pre_lock_proxy_conf=high_open=0.0
obj100_alphabet_soup_alphabet_soup_s8,alphabet_soup,8,29,46,62,-33,pre_lock_closed_proxy,medium,0.0,negative_delay_sweep,1,pre_lock_closed_proxy_conf=medium_open=0.0
obj100_butter_butter_s0,butter,0,32,49,79,-47,pre_lock_closed_proxy,medium,0.0,negative_delay_sweep,1,pre_lock_closed_proxy_conf=medium_open=0.0
obj100_chocolate_pudding_rerun_chocolate_pudding_s6,chocolate_pudding,6,36,53,86,-50,pre_lock_closed_proxy,medium,0.0,teacher_oracle,2,pre_lock_closed_proxy_conf=medium_open=0.0
obj100_bbq_sauce_bbq_sauce_s0,bbq_sauce,0,30,47,75,-45,pre_lock_closed_proxy,medium,0.0556,negative_delay_sweep,1,pre_lock_closed_proxy_conf=medium_open=0.0556
obj100_ketchup_ketchup_s1,ketchup,1,28,45,71,-43,pre_lock_closed_proxy,medium,0.0556,negative_delay_sweep,1,pre_lock_closed_proxy_conf=medium_open=0.0556
obj100_ketchup_ketchup_s2,ketchup,2,39,56,75,-36,pre_lock_closed_proxy,medium,0.0556,negative_delay_sweep,2,pre_lock_closed_proxy_conf=medium_open=0.0556
obj100_ketchup_ketchup_s4,ketchup,4,28,45,83,-55,pre_lock_closed_proxy,medium,0.0556,negative_delay_sweep,3,pre_lock_closed_proxy_conf=medium_open=0.0556
obj100_salad_dressing_salad_dressing_s0,salad_dressing,0,31,48,57,-26,pre_lock_closed_proxy,medium,0.0556,negative_delay_sweep,1,pre_lock_closed_proxy_conf=medium_open=0.0556
obj100_alphabet_soup_alphabet_soup_s3,alphabet_soup,3,21,38,71,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,2,approach_near_closed_proxy_conf=medium_open=0.0
obj100_alphabet_soup_alphabet_soup_s6,alphabet_soup,6,40,57,90,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,3,approach_near_closed_proxy_conf=medium_open=0.0
obj100_bbq_sauce_bbq_sauce_s0,bbq_sauce,0,25,42,75,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,2,approach_near_closed_proxy_conf=medium_open=0.0
obj100_bbq_sauce_bbq_sauce_s5,bbq_sauce,5,27,44,77,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,3,approach_near_closed_proxy_conf=medium_open=0.0
obj100_butter_butter_s0,butter,0,29,46,79,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,2,approach_near_closed_proxy_conf=medium_open=0.0
obj100_butter_butter_s3,butter,3,29,46,79,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,3,approach_near_closed_proxy_conf=medium_open=0.0
obj100_chocolate_pudding_rerun_chocolate_pudding_s3,chocolate_pudding,3,40,57,90,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,3,approach_near_closed_proxy_conf=medium_open=0.0
obj100_cream_cheese_cream_cheese_s4,cream_cheese,4,28,45,78,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,1,approach_near_closed_proxy_conf=medium_open=0.0
obj100_cream_cheese_cream_cheese_s3,cream_cheese,3,44,61,108,-64,approach_near_closed_proxy,medium,0.0,negative_delay_sweep,2,approach_near_closed_proxy_conf=medium_open=0.0
obj100_cream_cheese_cream_cheese_s3,cream_cheese,3,54,71,108,-54,approach_near_closed_proxy,medium,0.0,negative_delay_sweep,3,approach_near_closed_proxy_conf=medium_open=0.0
obj100_milk_milk_s4,milk,4,19,36,69,-50,approach_near_closed_proxy,medium,0.0,teacher_oracle,1,approach_near_closed_proxy_conf=medium_open=0.0
