auroc,auprc,p_at_10,n_pos,n,model,label,holdout_task
0.125,0.1736,0.2,2,10,LR,cmd_susceptible,alphabet_soup
0.5,0.2667,0.2,2,10,RF,cmd_susceptible,alphabet_soup
0.5,0.1825,0.2,2,10,TaskOnly,cmd_susceptible,alphabet_soup
0.5625,0.6111,0.2,2,10,Shuffle,cmd_susceptible,alphabet_soup
0.5833,0.5111,0.4,4,10,LR,cmd_susceptible,butter
0.4167,0.3986,0.4,4,10,RF,cmd_susceptible,butter
0.5,0.6792,0.4,4,10,TaskOnly,cmd_susceptible,butter
0.625,0.7183,0.4,4,10,Shuffle,cmd_susceptible,butter
0.5833,0.7329,0.6,6,10,LR,cmd_susceptible,cream_cheese
0.4583,0.6097,0.6,6,10,RF,cmd_susceptible,cream_cheese
0.5,0.762,0.6,6,10,TaskOnly,cmd_susceptible,cream_cheese
0.3333,0.6807,0.6,6,10,Shuffle,cmd_susceptible,cream_cheese
0.5417,0.5,0.4286,3,7,LR,cmd_susceptible,orange_juice
0.875,0.8667,0.4286,3,7,RF,cmd_susceptible,orange_juice
0.5,0.7,0.4286,3,7,TaskOnly,cmd_susceptible,orange_juice
0.1667,0.3595,0.4286,3,7,Shuffle,cmd_susceptible,orange_juice
0.4444,0.3651,0.3333,3,9,LR,cmd_susceptible,salad_dressing
0.6667,0.5317,0.3333,3,9,RF,cmd_susceptible,salad_dressing
0.5,0.7222,0.3333,3,9,TaskOnly,cmd_susceptible,salad_dressing
0.5,0.4028,0.3333,3,9,Shuffle,cmd_susceptible,salad_dressing
