task_key,state_id,window_start,window_end,run_type,in_calib,source_global_trace,target_localized_trace,recovery_status
alphabet_soup,0,3,20,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_alphabet_soup_state0_vis_pgd_full_d18_w3_20_seed0_162704_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/alphabet_soup_s0/traces/alphabet_soup_s0_vis_pgd_w3_20_trace.csv,recovered
alphabet_soup,2,11,28,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_alphabet_soup_state2_vis_pgd_full_d18_w11_28_seed0_185413_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/alphabet_soup_s2/traces/alphabet_soup_s2_vis_pgd_w11_28_trace.csv,recovered
alphabet_soup,4,4,21,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_alphabet_soup_state4_vis_pgd_full_d18_w4_21_seed0_013206_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/alphabet_soup_s4/traces/alphabet_soup_s4_vis_pgd_w4_21_trace.csv,recovered
alphabet_soup,4,4,21,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_alphabet_soup_state4_vis_pgd_full_d18_w4_21_seed0_023939_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/alphabet_soup_s4/traces/alphabet_soup_s4_vis_pgd_w4_21_trace.csv,already_localized
alphabet_soup,6,40,57,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_alphabet_soup_state6_vis_pgd_full_d18_w40_57_seed0_155307_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/alphabet_soup_s6/traces/alphabet_soup_s6_vis_pgd_w40_57_trace.csv,recovered
bbq_sauce,0,25,42,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_bbq_sauce_state0_vis_pgd_full_d18_w25_42_seed0_201605_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/bbq_sauce_s0/traces/bbq_sauce_s0_vis_pgd_w25_42_trace.csv,recovered
bbq_sauce,0,5,22,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_bbq_sauce_state0_vis_pgd_full_d18_w5_22_seed0_134517_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/bbq_sauce_s0/traces/bbq_sauce_s0_vis_pgd_w5_22_trace.csv,recovered
bbq_sauce,4,14,31,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_bbq_sauce_state4_vis_pgd_full_d18_w14_31_seed0_201631_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/bbq_sauce_s4/traces/bbq_sauce_s4_vis_pgd_w14_31_trace.csv,recovered
bbq_sauce,5,27,44,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_bbq_sauce_state5_vis_pgd_full_d18_w27_44_seed0_002839_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/bbq_sauce_s5/traces/bbq_sauce_s5_vis_pgd_w27_44_trace.csv,recovered
bbq_sauce,9,22,39,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_bbq_sauce_state9_vis_pgd_full_d18_w22_39_seed0_013637_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/bbq_sauce_s9/traces/bbq_sauce_s9_vis_pgd_w22_39_trace.csv,recovered
bbq_sauce,9,22,39,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_bbq_sauce_state9_vis_pgd_full_d18_w22_39_seed0_024415_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/bbq_sauce_s9/traces/bbq_sauce_s9_vis_pgd_w22_39_trace.csv,already_localized
butter,0,29,46,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_butter_state0_vis_pgd_full_d18_w29_46_seed0_161130_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/butter_s0/traces/butter_s0_vis_pgd_w29_46_trace.csv,recovered
butter,0,32,49,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_butter_state0_vis_pgd_full_d18_w32_49_seed0_185328_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/butter_s0/traces/butter_s0_vis_pgd_w32_49_trace.csv,recovered
butter,2,23,40,3R,False,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_butter_state2_vis_pgd_full_d18_w23_40_seed0_212442_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/butter_s2/traces/butter_s2_vis_pgd_w23_40_trace.csv,recovered
butter,5,25,42,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_butter_state5_vis_pgd_full_d18_w25_42_seed0_000302_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/butter_s5/traces/butter_s5_vis_pgd_w25_42_trace.csv,already_localized
butter,5,25,42,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_butter_state5_vis_pgd_full_d18_w25_42_seed0_013642_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/butter_s5/traces/butter_s5_vis_pgd_w25_42_trace.csv,already_localized
butter,5,25,42,3R,True,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_butter_state5_vis_pgd_full_d18_w25_42_seed0_024526_trace.csv,/data/liuyu/outputs/vis_calibration_1r3r_20260605/butter_s5/traces/butter_s5_vis_pgd_w25_42_trace.csv,already_localized
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d11_w26_36_seed0_110641_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d11_w26_36_seed0_195349_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d11_w26_36_seed0_220015_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d11_w65_75_seed0_open_streak_stop_K5_Q0_md16_042831_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d12_w65_76_seed0_233617_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d14_w65_78_seed0_015350_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d14_w65_78_seed1_015341_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_001533_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_010846_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_183141_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K2_Q0_md16_110852_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_112346_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed0_open_streak_stop_K3_Q0_md16_120533_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed1_003129_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed2_204107_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d16_w65_80_seed3_232356_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d18_w34_51_seed0_112958_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d18_w65_82_seed0_185757_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d18_w65_82_seed2_013531_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d18_w65_82_seed2_205530_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d20_w65_84_seed0_min_hold_qpos_cap_K0_Q0.008_md20_114917_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d20_w65_84_seed1_192427_trace.csv,,parse_failed
,,,,,,/data/liuyu/outputs/milestone_7_vis_controlled_rollout_micro_20260601/runs/vis_cream_cheese_s0_vis_pgd_full_d9_w12_20_seed0_192922_trace.csv,,parse_failed
