step,fgsm1_grad_norm,fgsm1_open_score_gain,fgsm1_loss_delta,fgsm1_open_prob_gain,fgsm1_token_flip,fgsm1_probe_status,fgsm1_probe_error,pgd1_grad_norm,pgd1_open_score_gain,pgd1_loss_delta,pgd1_open_prob_gain,pgd1_token_flip,pgd1_probe_status,pgd1_probe_error,pgd3_grad_norm,pgd3_open_score_gain,pgd3_loss_delta,pgd3_open_prob_gain,pgd3_token_flip,pgd3_probe_status,pgd3_probe_error,max_open_score_gain,max_grad_norm,any_token_flip,any_probe_error,open_token_count,close_token_count,task_key,state_id,window_start,window_end,label_status,taxonomy
21,13.25,1.385879,-1.385879,0.0,False,ok,,13.25,1.133251,-1.133251,0.0,False,ok,,20.5,1.881172,-1.881172,0.0,False,ok,,1.881172,20.5,0,0,127,128,alphabet_soup,3,21,38,ignore,polluted
29,28.0,0.595532,-0.595532,0.0,False,ok,,26.875,-0.559403,0.559403,0.0,False,ok,,14.375,0.556015,-0.556015,0.0,True,ok,,0.595532,28.0,1,0,127,128,alphabet_soup,3,21,38,ignore,polluted
38,11.625,-0.246651,0.246651,0.0,True,ok,,11.5,-0.295627,0.295627,0.0,False,ok,,17.0,-0.318043,0.318043,0.0,True,ok,,-0.246651,17.0,1,0,127,128,alphabet_soup,3,21,38,ignore,polluted
4,13.3125,0.691128,-0.691128,0.0,True,ok,,13.25,0.787258,-0.787258,0.0,False,ok,,10.9375,1.606361,-1.606361,0.0,False,ok,,1.606361,13.3125,1,0,127,128,alphabet_soup,4,4,21,positive,claim_usable
12,19.5,1.062507,-1.062507,0.0,True,ok,,19.5,1.160156,-1.160156,0.0,True,ok,,15.6875,0.517498,-0.517498,0.0,False,ok,,1.160156,19.5,1,0,127,128,alphabet_soup,4,4,21,positive,claim_usable
21,18.75,1.95977,-1.95977,0.0,False,ok,,18.625,1.869789,-1.869789,0.0,False,ok,,24.375,1.730049,-1.730049,0.0,False,ok,,1.95977,24.375,0,0,127,128,alphabet_soup,4,4,21,positive,claim_usable
29,20.25,2.238339,-2.238339,0.0,True,ok,,20.0,2.474415,-2.474415,0.0,False,ok,,26.375,-0.03524,0.03524,0.0,True,ok,,2.474415,26.375,1,0,127,128,alphabet_soup,8,29,46,ignore,polluted
37,24.25,2.114834,-2.114834,0.0,True,ok,,24.125,2.399715,-2.399715,0.0,True,ok,,0.507812,1.819943,-1.819943,0.0,True,ok,,2.399715,24.25,1,0,127,128,alphabet_soup,8,29,46,ignore,polluted
46,15.9375,2.34301,-2.34301,0.0,False,ok,,16.0,2.476185,-2.476185,0.0,True,ok,,16.0,2.502712,-2.502712,0.0,True,ok,,2.502712,16.0,1,0,127,128,alphabet_soup,8,29,46,ignore,polluted
30,12.3125,-0.358249,0.358249,0.0,False,ok,,12.25,-0.417232,0.417232,0.0,False,ok,,19.375,0.40218,-0.40218,0.0,False,ok,,0.40218,19.375,0,0,127,128,bbq_sauce,0,30,47,ignore,polluted
38,16.75,0.882141,-0.882141,0.0,True,ok,,17.5,0.667068,-0.667068,0.0,True,ok,,17.625,-0.426739,0.426739,0.0,False,ok,,0.882141,17.625,1,0,127,128,bbq_sauce,0,30,47,ignore,polluted
47,14.375,2.992885,-2.992885,0.0,True,ok,,14.625,2.651211,-2.651211,0.0,False,ok,,13.0625,1.027565,-1.027565,0.0,False,ok,,2.992885,14.625,1,0,127,128,bbq_sauce,0,30,47,ignore,polluted
27,11.6875,0.187729,-0.187729,0.0,True,ok,,12.625,0.22506,-0.22506,0.0,True,ok,,12.9375,0.768597,-0.768597,0.0,True,ok,,0.768597,12.9375,1,0,127,128,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
35,28.875,-1.155335,1.155335,0.0,True,ok,,25.625,-0.51485,0.51485,0.0,False,ok,,16.25,-0.689636,0.689636,0.0,True,ok,,-0.51485,28.875,1,0,127,128,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
44,17.125,0.106064,-0.106064,0.0,False,ok,,12.3125,0.541553,-0.541553,0.0,True,ok,,0.451172,0.294658,-0.294658,0.0,True,ok,,0.541553,17.125,1,0,127,128,bbq_sauce,5,27,44,negative,action_positive_physical_positive_task_negative
22,16.625,1.090698,-1.090698,0.0,True,ok,,16.625,1.608334,-1.608334,0.0,False,ok,,18.5,1.046433,-1.046433,0.0,True,ok,,1.608334,18.5,1,0,127,128,bbq_sauce,9,22,39,positive,claim_usable
30,17.625,0.88459,-0.88459,0.0,True,ok,,17.5,0.852573,-0.852573,0.0,True,ok,,21.5,0.456584,-0.456584,0.0,True,ok,,0.88459,21.5,1,0,127,128,bbq_sauce,9,22,39,positive,claim_usable
39,14.9375,-0.391327,0.391327,0.0,True,ok,,14.9375,-0.238686,0.238686,0.0,True,ok,,22.625,0.707165,-0.707165,0.0,False,ok,,0.707165,22.625,1,0,127,128,bbq_sauce,9,22,39,positive,claim_usable
29,12.0625,1.942134,-1.942134,0.0,False,ok,,12.0,2.794468,-2.794468,0.0,False,ok,,9.4375,0.799087,-0.799087,0.0,False,ok,,2.794468,12.0625,0,0,127,128,butter,3,29,46,ignore,polluted
37,15.375,-0.617215,0.617215,0.0,False,ok,,33.25,-1.125374,1.125374,0.0,True,ok,,17.125,-0.797131,0.797131,0.0,True,ok,,-0.617215,33.25,1,0,127,128,butter,3,29,46,ignore,polluted
46,13.0625,-1.109642,1.109642,0.0,True,ok,,12.25,-0.702206,0.702206,0.0,True,ok,,16.5,1.025028,-1.025028,0.0,True,ok,,1.025028,16.5,1,0,127,128,butter,3,29,46,ignore,polluted
25,12.6875,4.713882,-4.713882,0.0,False,ok,,13.125,4.510281,-4.510281,0.0,False,ok,,21.25,3.372185,-3.372185,0.0,True,ok,,4.713882,21.25,1,0,127,128,butter,5,25,42,positive,claim_usable
33,14.8125,3.155418,-3.155418,0.0,True,ok,,13.875,5.270157,-5.270157,0.0,False,ok,,15.0625,1.636482,-1.636482,0.0,True,ok,,5.270157,15.0625,1,0,127,128,butter,5,25,42,positive,claim_usable
