task_id,task_name,state_id,pure_success,det_success,det_attack_applied,selected_for_pilot_v2,selection_priority,notes
5,tomato_sauce,0,True,True,0,True,1,shortest steps among 3/3 tasks
5,tomato_sauce,1,True,True,0,True,1,3/3 valid
5,tomato_sauce,2,True,True,0,True,1,3/3 valid
7,milk,0,True,True,0,True,2,3/3 valid
7,milk,1,True,True,0,True,2,3/3 valid
7,milk,2,True,True,0,True,2,3/3 valid
2,salad_dressing,0,True,True,0,False,3,backup only
2,salad_dressing,1,True,True,0,False,3,backup only
2,salad_dressing,2,True,True,0,False,3,backup only
4,ketchup,0,True,True,0,False,4,backup only
4,ketchup,1,True,True,0,False,4,backup only
4,ketchup,2,True,True,0,False,4,backup only
1,cream_cheese,0,True,True,0,False,5,s1 failed, incomplete
1,cream_cheese,1,True,False,0,False,99,excluded
1,cream_cheese,2,True,True,0,False,5,s1 failed, incomplete
