source_batch,task_key,state_id,window_start,window_end,candidate_role,control_type,phase_bin_proxy,denominator_type,provenance_status,provenance_note,reason_selected,VIS_OPEN,vis_open_count,qpos_opening_delta,qpos_label,done,taxonomy,denominator_clean,claim_usable,action_bridge_confounded,label_action_bridge,label_physical_response,label_task_failure,label_vulnerability_ready,label_status,label_use,exclusion_or_uncertain_reason
batch1,ketchup,0,16,33,raw_audit_group,,far_closed_proxy,standard,complete,complete,,18/18,18,0.038042,strong,False,action_positive_physical_strong_task_positive,True,True,False,1,1,1,1,positive,train,
batch1,butter,0,29,46,manual_merge_validated,,near_closed_proxy,standard,split groups; merged via manual_trace_merge.csv,split groups; merged via manual_trace_merge.csv,,18/18,18,0.037905,strong,False,action_positive_physical_strong_task_positive,True,True,False,1,1,1,1,positive,train,
batch1,alphabet_soup,0,3,20,complete_denominator,,far_closed_proxy,standard,random completed; claim=False because qpos<0.03,random completed; claim=False because qpos<0.03,,18/18,18,0.027619,weak,False,weak_physical_uncertain,True,False,False,1,0.5,1,,ignore,ignore,weak_physical_uncertain
batch3,alphabet_soup,3,21,38,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,alphabet_soup,4,4,21,,,grasp_formation,standard,unknown,,,18.0,18,0.032241,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
batch3,alphabet_soup,8,29,46,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,bbq_sauce,0,30,47,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,bbq_sauce,5,27,44,,,grasp_formation,standard,unknown,,,18.0,18,0.038119,strong,True,action_positive_physical_positive_task_negative,True,False,False,1,1,0,0,negative,train,
batch3,bbq_sauce,9,22,39,,,grasp_formation,standard,unknown,,,18.0,18,0.038021,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
batch3,butter,3,29,46,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,butter,5,25,42,,,grasp_formation,standard,unknown,,,18.0,18,0.037568,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
