step,model_inference_us,detector_update_us,env_step_us
0,2495359,DISABLED,23023
1,1079022,DISABLED,21806
2,1076509,DISABLED,21673
3,1084161,DISABLED,22413
4,1076569,DISABLED,21411
5,1081616,DISABLED,22552
6,1079879,DISABLED,21724
7,1088195,DISABLED,22773
8,1083728,DISABLED,21951
9,1076122,DISABLED,21317
10,1082694,DISABLED,21877
11,1086824,DISABLED,21752
12,1100201,DISABLED,22814
13,1081894,DISABLED,21812
14,1078214,DISABLED,21677
15,1093034,DISABLED,22872
16,1079380,DISABLED,21765
17,1097254,DISABLED,22341
18,1086558,DISABLED,22329
19,1084302,DISABLED,21523
20,1098554,DISABLED,22460
21,1083823,DISABLED,21750
22,1081214,DISABLED,21747
23,1093665,DISABLED,21970
24,1082969,DISABLED,21608
25,1097098,DISABLED,23668
26,1092070,DISABLED,22001
27,1085401,DISABLED,21896
28,1088285,DISABLED,22202
29,1079873,DISABLED,21412
30,1102022,DISABLED,21954
31,1078431,DISABLED,21565
32,1080051,DISABLED,21455
33,1086238,DISABLED,22311
34,1080212,DISABLED,21603
35,1103644,DISABLED,22611
36,1087789,DISABLED,22551
37,1088343,DISABLED,21419
38,1086263,DISABLED,21776
39,1085293,DISABLED,22183
40,1099913,DISABLED,22754
41,1106727,DISABLED,23385
42,1083402,DISABLED,21433
43,1087532,DISABLED,22015
44,1094239,DISABLED,23447
45,1103622,DISABLED,22346
46,1084656,DISABLED,22043
47,1087097,DISABLED,21735
48,1086671,DISABLED,22012
49,1083534,DISABLED,21735
50,1100166,DISABLED,23115
51,1090082,DISABLED,23716
52,1088694,DISABLED,24613
53,1097034,DISABLED,25915
54,1083830,DISABLED,23951
55,1096567,DISABLED,24584
56,1087475,DISABLED,24609
57,1089984,DISABLED,26357
58,1085631,DISABLED,24643
59,1082385,DISABLED,24615
60,1105799,DISABLED,30034
61,1084163,DISABLED,26790
62,1087065,DISABLED,26815
63,1083413,DISABLED,26899
64,1085309,DISABLED,27040
65,1103934,DISABLED,27611
66,1088355,DISABLED,27358
67,1087900,DISABLED,28715
68,1095253,DISABLED,28295
69,1087523,DISABLED,26782
70,1102874,DISABLED,27647
71,1089465,DISABLED,27419
72,1097491,DISABLED,28846
73,1096040,DISABLED,27485
74,1093327,DISABLED,27627
75,1097006,DISABLED,27365
76,1085648,DISABLED,27249
77,1094219,DISABLED,27614
78,1092944,DISABLED,27611
79,1084017,DISABLED,26597
80,1093712,DISABLED,27138
81,1104375,DISABLED,27598
82,1086238,DISABLED,27142
83,1083453,DISABLED,26984
84,1083505,DISABLED,26978
85,1099656,DISABLED,28876
86,1089407,DISABLED,27583
87,1107763,DISABLED,28165
88,1086258,DISABLED,26576
89,1085893,DISABLED,27620
90,1114888,DISABLED,29486
91,1090244,DISABLED,27243
92,1107523,DISABLED,28650
93,1090405,DISABLED,27212
94,1087865,DISABLED,26363
95,1085473,DISABLED,27651
96,1089436,DISABLED,26519
97,1109612,DISABLED,27441
98,1083818,DISABLED,27413
99,1089954,DISABLED,27362
100,1092817,DISABLED,27280
101,1094720,DISABLED,26840
102,1107382,DISABLED,28154
103,1090319,DISABLED,27265
104,1085225,DISABLED,26548
105,1089386,DISABLED,27443
106,1092495,DISABLED,27545
107,1107643,DISABLED,27495
108,1102851,DISABLED,29318
109,1085055,DISABLED,29154
110,1085577,DISABLED,28261
111,1086270,DISABLED,28822
112,1093524,DISABLED,28272
113,1111762,DISABLED,29439
114,1089760,DISABLED,29488
115,1095462,DISABLED,27983
116,1091598,DISABLED,27511
117,1105168,DISABLED,28503
118,1095643,DISABLED,27254
119,1105886,DISABLED,29672
120,1086696,DISABLED,27564
121,1089403,DISABLED,27778
122,1089092,DISABLED,28374
123,1088945,DISABLED,26843
